Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:46:21 PM,18115,4024,14783,7953,27575,7791,6522,17486,32,93,37,255
1/9/2019 9:46:22 PM,66110,5589,19088,9491,14222,3444,6954,26721,32,96,41,255
1/9/2019 9:46:23 PM,5937,7661,14075,8363,8321,38781,3833,28740,32,78,44,255
1/9/2019 9:46:24 PM,16049,4630,38676,6993,23805,14341,3345,26659,32,84,60,255
1/9/2019 9:46:25 PM,7622,2233,14084,7418,14525,9842,7154,36337,32,78,61,255
1/9/2019 9:46:26 PM,8078,3078,22218,3287,14867,10852,7582,22641,32,77,60,255
1/9/2019 9:46:27 PM,5323,8586,16184,2608,12194,3917,4331,32789,32,87,74,255
1/9/2019 9:46:28 PM,13950,5072,6657,1598,16556,15111,6784,36719,32,91,63,255
1/9/2019 9:46:29 PM,6294,11553,2571,6506,8838,22192,6004,37746,32,83,57,255
1/9/2019 9:46:30 PM,11519,6565,9740,6824,7711,4513,6618,60804,32,81,57,255
1/9/2019 9:46:31 PM,53492,4485,14085,1131,14869,14749,6794,37153,32,83,51,255
1/9/2019 9:46:32 PM,21279,15653,17094,6511,12684,7399,10347,19085,32,75,64,255
1/9/2019 9:46:33 PM,131821,7704,4826,9852,15089,21034,6360,37570,32,81,63,255
1/9/2019 9:46:34 PM,3230,5263,26082,6050,8326,12748,5136,29234,32,75,66,255
1/9/2019 9:46:35 PM,13674,8059,18158,4619,20256,32041,8383,43812,32,70,63,255
1/9/2019 9:46:36 PM,12969,10852,55261,8455,4615,14894,4470,36815,32,54,69,255
1/9/2019 9:46:37 PM,191431,2121,12550,2780,6970,44051,3382,40930,32,41,69,255
1/9/2019 9:46:38 PM,26905,6774,8362,1630,6896,33322,6132,35334,32,38,57,255
1/9/2019 9:46:39 PM,397,13189,38524,11212,4746,9199,6936,42810,32,23,74,255
1/9/2019 9:46:40 PM,134099,12562,16912,4316,9592,12769,4559,40554,32,37,63,255
1/9/2019 9:46:41 PM,7297,4729,20443,6254,6164,44331,18035,47842,32,34,69,255
1/9/2019 9:46:42 PM,61063,19881,2910,8565,7067,17098,7094,46279,32,37,77,255
1/9/2019 9:46:43 PM,362532,8068,2938,5952,16397,13838,8821,57199,32,57,56,255
1/9/2019 9:46:44 PM,135096,13399,21399,11237,31090,101975,18070,28382,32,57,43,255
1/9/2019 9:46:45 PM,241730,10604,6414,2694,8073,5181,10356,36691,32,74,51,255
1/9/2019 9:46:46 PM,84203,30100,7431,5019,8550,55000,3366,23139,32,66,48,255
