Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:44:44 PM,431397,8017,5248,2387,7935,9959,8241,4289,32,74,66,255
1/9/2019 9:44:45 PM,67911,17727,84709,11024,12830,31970,11694,14604,32,60,84,255
1/9/2019 9:44:46 PM,309313,5682,33016,13009,9293,23584,18135,20867,32,61,100,255
1/9/2019 9:44:47 PM,2680,2521,15893,7404,11658,65110,7756,24170,32,60,87,255
1/9/2019 9:44:48 PM,188824,1812,8249,10654,13800,7410,10044,15338,32,66,78,255
1/9/2019 9:44:49 PM,16002,1841,25554,4548,12960,22905,6147,35745,32,75,67,255
1/9/2019 9:44:50 PM,7745,9694,11476,5628,8664,18560,11226,8028,32,78,64,255
1/9/2019 9:44:51 PM,11712,6650,11474,3541,23641,9701,31543,41070,32,91,74,255
1/9/2019 9:44:52 PM,5721,2188,13983,8317,20541,8911,9032,40588,32,91,77,255
1/9/2019 9:44:53 PM,506498,6140,22313,16586,5778,12141,6905,43914,32,88,78,255
1/9/2019 9:44:54 PM,5087,11088,105850,4740,14204,46007,14913,35971,32,81,90,255
1/9/2019 9:44:55 PM,75967,26604,73272,10827,18050,17986,4023,10278,32,67,100,255
1/9/2019 9:44:56 PM,21274,5670,8786,1929,2013,12441,1589,5719,32,50,100,255
1/9/2019 9:44:57 PM,91391,18802,73431,6873,10195,2612,11277,36828,32,47,100,255
1/9/2019 9:44:58 PM,11300,23146,30845,18302,11326,46180,5942,20593,32,50,100,255
1/9/2019 9:44:59 PM,22414,11624,20293,5162,11308,12631,6580,56274,32,53,94,255
1/9/2019 9:45:00 PM,3309,35167,18051,7022,12313,25098,6604,38633,32,60,91,255
1/9/2019 9:45:01 PM,5973,25099,28166,5726,10523,7585,6070,22709,32,63,84,255
1/9/2019 9:45:02 PM,122286,20825,24104,10140,16318,6568,8139,14384,32,70,90,255
1/9/2019 9:45:03 PM,112327,5271,35594,7518,15582,48906,6815,27863,32,67,83,255
1/9/2019 9:45:04 PM,28008,20827,32582,8948,29302,15280,9060,18886,32,77,81,255
1/9/2019 9:45:05 PM,16810,7126,26019,7371,6072,25371,13664,43492,32,70,74,255
1/9/2019 9:45:06 PM,16787,14398,15329,5507,5698,16105,10830,23992,32,64,74,255
1/9/2019 9:45:07 PM,409796,17716,77196,4163,12701,54642,6726,15838,32,57,80,255
1/9/2019 9:45:08 PM,26922,11863,35673,6720,10333,39493,10386,20535,32,48,80,255
1/9/2019 9:45:09 PM,11826,11992,15563,7893,13868,27975,6949,21526,32,56,75,255
