Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:52:20 PM,10361,4077,22011,5816,10251,5735,6899,43481,42,87,75,255
1/9/2019 9:52:21 PM,5894,3279,10471,9014,5277,7821,10382,36921,42,83,75,255
1/9/2019 9:52:22 PM,3438,6371,19196,7032,6449,6380,7123,57663,42,77,81,255
1/9/2019 9:52:23 PM,68750,1578,25001,7463,8192,17861,10405,53410,42,70,78,255
1/9/2019 9:52:24 PM,11238,21151,38344,8683,13053,91983,6007,64638,42,57,70,255
1/9/2019 9:52:25 PM,9175,6698,9750,10429,8927,19539,3605,39992,42,57,67,255
1/9/2019 9:52:26 PM,12844,4282,72053,7275,11363,4627,7339,40201,42,54,77,255
1/9/2019 9:52:27 PM,7918,5867,83870,7730,9867,10773,10405,72515,42,48,90,255
1/9/2019 9:52:28 PM,41846,12316,22453,4316,6695,26468,12687,39830,42,51,93,255
1/9/2019 9:52:29 PM,5457,2776,2072,1328,1875,10389,2578,13204,42,44,91,255
1/9/2019 9:52:30 PM,7160,8469,11441,4204,10069,8000,23287,27877,42,53,80,255
1/9/2019 9:52:31 PM,8930,15848,18709,7151,12682,18902,4744,40657,42,61,69,255
1/9/2019 9:52:32 PM,7351,11337,21910,3528,7866,20468,5511,63141,42,63,70,255
1/9/2019 9:52:33 PM,146788,6386,41859,9764,9594,22159,7665,33763,42,64,81,255
1/9/2019 9:52:34 PM,5326,4828,13043,5014,1909,18804,3049,15312,42,47,78,255
1/9/2019 9:52:35 PM,5417,6177,12175,18479,16904,17750,4813,60283,42,53,70,255
1/9/2019 9:52:36 PM,7127,25561,2102,5406,9233,38480,5680,38366,42,53,64,255
1/9/2019 9:52:37 PM,13496,21909,14846,7920,13563,11982,12111,43516,42,60,64,255
1/9/2019 9:52:38 PM,5196,10648,10915,18420,7175,3387,14924,51616,42,77,64,255
1/9/2019 9:52:39 PM,44872,5331,15161,4078,11455,15725,11376,39161,42,74,69,255
1/9/2019 9:52:40 PM,6996,25602,9371,11938,12067,8941,9352,45243,42,80,75,255
1/9/2019 9:52:41 PM,45766,5945,5082,2177,12610,16198,10830,52869,42,83,64,255
1/9/2019 9:52:42 PM,1332,6981,6789,16517,9529,15233,9043,70323,42,84,57,255
1/9/2019 9:52:43 PM,1737,10230,23831,5514,7530,8663,5881,51674,42,78,66,255
1/9/2019 9:52:44 PM,12813,1167,7191,9085,13662,9584,14021,51118,42,88,54,255
1/9/2019 9:52:45 PM,16114,13274,4889,6454,8202,8318,11393,26169,42,87,63,255
