Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:49:38 PM,24793,3028,19861,10902,16020,16041,6464,106291,46,74,66,255
1/9/2019 9:49:39 PM,280548,11653,12150,9878,6866,10476,7326,110357,46,70,67,255
1/9/2019 9:49:40 PM,16972,8460,30189,10356,8860,42966,9163,79470,46,66,56,255
1/9/2019 9:49:41 PM,420299,7598,12892,10706,13605,16726,7275,113977,46,70,57,255
1/9/2019 9:49:42 PM,111168,43058,21698,7660,9316,77617,5646,113577,46,53,61,255
1/9/2019 9:49:43 PM,116968,8262,4967,7543,7033,9698,11210,89693,46,57,56,255
1/9/2019 9:49:44 PM,51014,4861,1757,1688,2265,5619,3533,31321,46,63,57,255
1/9/2019 9:49:45 PM,23413,19959,7447,3775,4979,14005,3301,95799,46,51,66,255
1/9/2019 9:49:46 PM,87430,2459,11735,3115,12962,26200,11623,90245,46,66,57,255
1/9/2019 9:49:47 PM,21572,4247,5821,5841,8590,18755,7826,80485,46,66,53,255
1/9/2019 9:49:48 PM,156471,7989,7675,8372,8505,11870,8526,147199,46,70,51,255
1/9/2019 9:49:49 PM,102649,7530,18605,9947,11866,39825,8831,95408,46,75,40,255
1/9/2019 9:49:50 PM,26643,11318,11116,13425,5969,53497,9267,138449,46,61,40,255
1/9/2019 9:49:51 PM,66740,11919,19139,9428,4994,17871,4046,114927,46,51,51,255
1/9/2019 9:49:52 PM,91790,3717,6645,14328,15062,24956,7728,100921,46,53,41,255
1/9/2019 9:49:53 PM,154239,1073,5749,6273,7331,29699,21958,78983,46,56,34,255
1/9/2019 9:49:54 PM,39837,6220,10999,6577,6454,13800,4955,61308,46,64,41,255
1/9/2019 9:49:55 PM,4727,2682,6841,4939,9691,13052,7984,96688,46,78,30,255
1/9/2019 9:49:56 PM,7446,1038,8577,8846,7734,23143,7457,141471,46,74,34,255
1/9/2019 9:49:57 PM,6082,2364,9546,15429,3654,4704,7442,115319,46,74,44,255
1/9/2019 9:49:58 PM,13354,12348,7386,3496,8399,14846,4569,117292,46,77,44,255
1/9/2019 9:49:59 PM,358530,1796,26036,8343,6454,30469,3427,122116,46,63,50,255
1/9/2019 9:50:00 PM,21496,59094,24779,8325,10013,125042,7254,95552,46,47,57,255
1/9/2019 9:50:01 PM,9998,3663,3038,3543,11809,11802,7100,66129,46,56,51,255
1/9/2019 9:50:02 PM,21246,12462,16180,1937,4239,10063,6429,100610,46,50,60,255
1/9/2019 9:50:03 PM,34397,17689,19437,2400,5831,20187,4435,90631,46,50,67,255
