Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:53:10 PM,22942,6083,1150,9137,4850,16177,9323,24392,38,75,64,255
1/9/2019 9:53:11 PM,90901,25166,3251,5284,6804,14887,8396,27855,38,69,60,255
1/9/2019 9:53:12 PM,33500,3707,885,2474,2856,19038,1499,10085,38,64,51,255
1/9/2019 9:53:13 PM,14138,4380,12015,12620,6673,31859,6987,37245,38,54,47,255
1/9/2019 9:53:14 PM,75803,8780,7421,4313,9455,12397,7014,31250,38,60,54,255
1/9/2019 9:53:15 PM,4761,3132,9332,4857,13315,44600,3897,30041,38,64,40,255
1/9/2019 9:53:16 PM,4075,1536,10086,13727,13756,4112,5233,29916,38,83,44,255
1/9/2019 9:53:17 PM,8182,10190,17689,9998,8251,14462,6691,41246,38,87,53,255
1/9/2019 9:53:18 PM,6627,10859,12663,4640,8660,13182,5504,64830,38,83,56,255
1/9/2019 9:53:19 PM,9282,868,24648,6018,6647,17522,8627,57394,38,78,67,255
1/9/2019 9:53:20 PM,6846,6682,33685,7512,6094,51065,9304,31124,38,53,74,255
1/9/2019 9:53:21 PM,11639,3808,10180,7424,16835,2213,6937,77544,38,67,69,255
1/9/2019 9:53:22 PM,10988,12461,16127,6472,4963,4998,9007,43518,38,63,74,255
1/9/2019 9:53:23 PM,25076,21004,20677,10685,6284,24825,12007,53541,38,57,75,255
1/9/2019 9:53:24 PM,11446,9557,15737,6777,10005,28022,9793,16655,38,67,75,255
1/9/2019 9:53:25 PM,32557,7766,11994,6576,11901,3083,9126,29719,38,60,80,255
1/9/2019 9:53:26 PM,39046,6793,23909,10043,5886,15591,6922,30046,38,60,75,255
1/9/2019 9:53:27 PM,15648,21025,2253,5189,4254,17103,3224,50658,38,61,74,255
1/9/2019 9:53:28 PM,26754,6546,8072,7498,8623,22050,5971,20036,38,64,69,255
1/9/2019 9:53:29 PM,10532,184,14890,1603,11308,5556,5404,43948,38,66,69,255
1/9/2019 9:53:30 PM,16535,1495,9425,6008,6543,22951,9382,17198,38,69,60,255
1/9/2019 9:53:31 PM,5056,11005,28181,7217,10142,17258,4123,51863,38,74,61,255
1/9/2019 9:53:32 PM,6359,9839,6349,5087,6424,9712,6970,15820,38,74,66,255
1/9/2019 9:53:33 PM,4785,3882,13409,10429,7337,12291,4179,41945,38,66,64,255
1/9/2019 9:53:34 PM,9491,4164,6661,5203,10114,18283,13281,35365,38,70,64,255
1/9/2019 9:53:35 PM,19791,755,53230,7975,7602,15222,11637,20839,38,66,67,255
