Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:41:23 PM,10597,3582,6581,4041,2791,13225,2647,4751,49,74,69,255
1/9/2019 9:41:24 PM,87073,23118,1948,13887,9045,14839,11247,22070,49,80,70,255
1/9/2019 9:41:25 PM,25515,933,1463,3655,2277,12445,7888,10944,49,74,57,255
1/9/2019 9:41:26 PM,1008,7214,23455,6699,11023,26322,7039,34315,49,64,63,255
1/9/2019 9:41:27 PM,78999,2545,9465,6459,8318,16918,6212,37279,49,74,60,255
1/9/2019 9:41:28 PM,302724,8023,4367,3643,1860,15888,4016,16680,40,63,57,255
1/9/2019 9:41:29 PM,38191,2244,1339,1417,6777,21169,2099,9726,40,67,56,255
1/9/2019 9:41:30 PM,18428,1046,4219,6535,11531,26962,5578,28622,40,74,38,255
1/9/2019 9:41:31 PM,9701,7697,6116,10230,8075,5037,2747,29928,40,75,44,255
1/9/2019 9:41:32 PM,2838,6204,4618,4156,14451,5992,10079,54114,40,94,40,255
1/9/2019 9:41:33 PM,5204,3305,1872,9030,14309,2278,7428,51186,40,100,47,255
1/9/2019 9:41:34 PM,9502,5193,2314,7222,6118,20951,9538,41769,40,100,51,255
1/9/2019 9:41:35 PM,20540,6401,1595,8037,6788,14219,3911,35227,40,100,43,255
1/9/2019 9:41:36 PM,183028,36779,11403,13766,3706,62826,5397,37593,40,75,48,255
1/9/2019 9:41:37 PM,119477,46892,43856,8742,18372,168940,8394,33512,45,50,56,255
1/9/2019 9:41:38 PM,21901,17018,12190,7878,21400,44851,6418,46179,45,53,63,255
1/9/2019 9:41:39 PM,321580,4982,15468,7881,9289,39767,6802,29313,48,47,66,255
1/9/2019 9:41:40 PM,138800,11348,4188,7423,3595,26445,794,12955,48,54,61,255
1/9/2019 9:41:41 PM,50501,7057,3644,2168,3030,44688,2580,16868,48,51,53,255
1/9/2019 9:41:42 PM,53802,12730,11326,4108,5693,57999,6389,41010,48,41,51,255
1/9/2019 9:41:43 PM,1573663,29988,12450,4901,9482,265056,3952,48078,37,29,41,255
1/9/2019 9:41:44 PM,1614146,24365,53935,4616,29710,694908,25290,25030,31,23,27,255
1/9/2019 9:41:45 PM,1482138,102620,35430,25826,21702,51192,10482,20923,31,29,48,255
1/9/2019 9:41:46 PM,140872,81339,9576,23201,7984,134902,11857,6083,31,24,53,255
1/9/2019 9:41:47 PM,3203410,52061,18568,16834,7553,179120,10778,6118,31,24,61,255
1/9/2019 9:41:48 PM,899739,60446,111706,46909,20944,566907,31887,27774,31,21,70,255
