Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:40:38 PM,178021,12279,8788,18472,8460,33831,11039,100564,41,70,41,255
1/9/2019 9:40:39 PM,18768,1814,3528,5374,2756,6516,1496,26030,41,69,35,255
1/9/2019 9:40:40 PM,13060,14939,9199,5262,6612,20412,8651,109345,41,74,53,255
1/9/2019 9:40:41 PM,61971,9038,16734,12784,5663,13218,5903,72252,39,74,66,255
1/9/2019 9:40:42 PM,47124,10886,4204,2397,2953,18671,2004,20300,39,67,74,255
1/9/2019 9:40:43 PM,442013,4874,1127,17377,7080,8429,6085,65410,39,74,63,255
1/9/2019 9:40:44 PM,145762,3944,4523,1942,2323,17830,1375,18883,39,69,56,255
1/9/2019 9:40:45 PM,30102,2013,1252,2108,3559,15895,1623,14864,39,70,38,255
1/9/2019 9:40:46 PM,509973,1321,9106,7192,16567,63512,3476,90977,43,80,20,255
1/9/2019 9:40:47 PM,104510,15408,6344,3240,3575,59176,2617,19245,43,60,26,255
1/9/2019 9:40:48 PM,1992160,16560,13059,5623,23606,57041,14267,51053,43,67,24,255
1/9/2019 9:40:49 PM,20324,8727,18304,18710,16033,21958,14842,90628,43,75,38,255
1/9/2019 9:40:50 PM,368860,1534,785,1167,3513,15082,1158,23712,38,74,38,255
1/9/2019 9:40:51 PM,16258,5605,4704,4790,5257,55464,2017,21143,38,78,30,255
1/9/2019 9:40:52 PM,94949,5257,11564,18295,7129,46592,5228,60596,38,69,27,255
1/9/2019 9:40:53 PM,8908,1154,4025,3620,1784,26198,1865,15688,38,53,14,255
1/9/2019 9:40:54 PM,13958,14543,19071,4454,11031,77438,2761,51399,38,48,27,255
1/9/2019 9:40:55 PM,10411,3729,6319,10880,8657,14530,9016,75806,38,61,34,255
1/9/2019 9:40:56 PM,285968,2260,4692,2774,15250,4072,8388,54317,38,80,37,255
1/9/2019 9:40:57 PM,18291,576,1914,1848,2682,21591,1021,12539,38,84,29,255
1/9/2019 9:40:58 PM,229181,21482,11400,6429,15187,15786,6750,44867,37,93,40,255
1/9/2019 9:40:59 PM,39256,33071,8425,21905,7624,195888,7661,56742,37,70,37,255
1/9/2019 9:41:00 PM,29626,2908,5104,1424,6255,10135,4151,37862,37,61,41,255
1/9/2019 9:41:01 PM,26729,24957,8432,13631,10359,64426,8058,46360,37,61,57,255
1/9/2019 9:41:02 PM,79341,10893,10392,4675,9807,40175,4367,43579,37,54,48,255
1/9/2019 9:41:03 PM,57473,15451,8333,10649,9849,27304,8551,58809,38,67,57,255
