Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:43:04 PM,84881,2693,5366,16518,14565,41817,4514,32408,33,81,67,255
1/9/2019 9:43:05 PM,94590,2245,1326,1772,3865,5873,2387,8917,33,77,63,255
1/9/2019 9:43:06 PM,92810,13178,14186,2566,18169,17502,3226,34024,35,87,60,255
1/9/2019 9:43:07 PM,15358,6527,2249,3824,3671,10430,1423,11289,35,81,53,255
1/9/2019 9:43:08 PM,89127,9718,9361,10938,10562,28442,13592,29731,35,80,66,255
1/9/2019 9:43:09 PM,65396,5532,3526,3877,4390,47127,1770,10308,37,67,60,255
1/9/2019 9:43:10 PM,90785,9585,13079,5224,22054,44730,10217,64768,39,64,51,255
1/9/2019 9:43:11 PM,46186,29227,13521,14029,6594,68999,3088,34016,39,56,51,255
1/9/2019 9:43:12 PM,22580,10474,9282,5578,13547,5362,5003,71230,39,61,60,255
1/9/2019 9:43:13 PM,166935,23386,14449,16604,13428,22872,13406,31009,37,69,77,255
1/9/2019 9:43:14 PM,139105,26437,20366,12697,30385,93270,14356,83062,36,67,77,255
1/9/2019 9:43:15 PM,5125,22414,5754,18459,7727,96887,9970,60373,36,67,66,255
1/9/2019 9:43:16 PM,400820,16649,17446,4977,9347,11792,2440,43058,46,61,70,255
1/9/2019 9:43:17 PM,537666,5705,2843,3639,4822,145625,1279,6716,45,47,44,255
1/9/2019 9:43:18 PM,24160,24931,20287,13584,22070,76872,15478,46988,45,44,48,255
1/9/2019 9:43:19 PM,16906,14452,8043,3181,11059,6259,11804,21103,45,57,63,255
1/9/2019 9:43:20 PM,29354,13754,4888,6975,21594,11047,3860,48434,45,66,53,255
1/9/2019 9:43:21 PM,60134,11104,31273,17949,16855,66952,3319,56863,45,78,74,255
1/9/2019 9:43:22 PM,818981,16793,72533,14966,9870,78702,16596,35434,38,69,81,255
1/9/2019 9:43:23 PM,13536,14360,22334,12580,21575,68080,5602,32409,38,66,69,255
1/9/2019 9:43:24 PM,19042,7862,3729,2543,21197,12395,8226,28459,38,67,66,255
1/9/2019 9:43:25 PM,35440,29499,3202,21876,21088,10510,11267,39189,38,78,69,255
1/9/2019 9:43:26 PM,20347,3430,10983,4995,7061,23536,4307,34721,38,87,61,255
1/9/2019 9:43:27 PM,3094,41178,19949,17552,9821,33835,7988,23506,38,81,74,255
1/9/2019 9:43:28 PM,1855,3399,5804,8314,5911,7001,4041,55094,38,74,75,255
1/9/2019 9:43:29 PM,72303,10668,8069,2432,13236,6041,5118,33444,33,74,80,255
