Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:42:10 PM,25538,5224,12399,6435,11377,11198,16314,20637,39,77,61,255
1/9/2019 9:42:11 PM,179308,7538,5292,6348,4560,33266,2478,8527,39,74,56,255
1/9/2019 9:42:12 PM,12841,14232,44298,13552,19933,95065,17911,32496,39,66,60,255
1/9/2019 9:42:13 PM,18038,9765,9928,13434,11363,13225,8020,28103,39,67,66,255
1/9/2019 9:42:14 PM,225473,2183,5871,3497,13513,17713,16627,50973,39,69,56,255
1/9/2019 9:42:15 PM,365161,4760,3292,15025,12957,43098,6241,37487,41,77,47,255
1/9/2019 9:42:16 PM,22461,4678,8386,11698,17948,36282,5844,28205,41,84,37,255
1/9/2019 9:42:17 PM,11349,13760,13255,13991,11790,31917,7087,20150,41,80,35,255
1/9/2019 9:42:18 PM,380698,14387,16903,9612,27137,20477,5921,48120,36,80,44,255
1/9/2019 9:42:19 PM,8990,3829,4959,5113,2023,7387,1668,10859,36,75,61,255
1/9/2019 9:42:20 PM,2255,11596,2292,2626,18369,7228,13975,25356,36,81,74,255
1/9/2019 9:42:21 PM,47508,18543,7146,12240,9953,12668,8311,27186,33,84,78,255
1/9/2019 9:42:22 PM,34257,4148,2225,1746,3430,14177,3857,4878,33,75,70,255
1/9/2019 9:42:23 PM,38067,9046,7867,9847,10431,14522,12269,29335,37,81,69,255
1/9/2019 9:42:24 PM,23121,810,1738,1512,919,4424,680,1369,37,67,66,255
1/9/2019 9:42:25 PM,5466,23855,3476,12789,11535,24567,10193,23003,37,67,64,255
1/9/2019 9:42:26 PM,6223,5707,6867,4842,7960,8943,12761,40853,37,75,69,255
1/9/2019 9:42:27 PM,273393,9364,6909,7961,13023,17964,9252,33945,34,75,67,255
1/9/2019 9:42:28 PM,18928,2248,2086,2540,2962,50778,1794,7482,34,67,53,255
1/9/2019 9:42:29 PM,18104,5988,6296,12199,13044,12565,7463,43049,34,74,47,255
1/9/2019 9:42:30 PM,131962,23874,2417,9906,5475,31833,12346,44537,34,63,44,255
1/9/2019 9:42:31 PM,25165,12270,6284,2966,4110,29995,1650,13054,34,53,47,255
1/9/2019 9:42:32 PM,44028,8757,5712,13986,13021,11301,10504,37917,34,69,63,255
1/9/2019 9:42:33 PM,110904,30351,18635,7921,26834,99522,6416,30816,34,61,64,255
1/9/2019 9:42:34 PM,57054,8427,23124,7516,17567,55314,10914,19252,34,67,61,255
1/9/2019 9:42:35 PM,88129,742,10517,4334,10292,14062,5434,32477,35,80,57,255
