Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:43:50 PM,103560,1477,2952,1563,2676,17385,1528,4475,36,66,51,255
1/9/2019 9:43:51 PM,3018,3176,5130,8431,15948,32228,6196,8889,36,64,38,255
1/9/2019 9:43:52 PM,144126,5106,13986,12395,17992,27144,7363,16888,39,78,40,255
1/9/2019 9:43:53 PM,2348,5162,11798,2695,2627,4899,1166,3093,39,70,57,255
1/9/2019 9:43:54 PM,152977,1952,6324,8154,15095,8678,12521,11165,39,87,61,255
1/9/2019 9:43:55 PM,9722,5317,2061,2024,2493,14093,910,1844,39,77,69,255
1/9/2019 9:43:56 PM,982637,991,7406,4590,7591,10951,8655,22760,36,77,70,255
1/9/2019 9:43:57 PM,209002,19766,2009,11829,19382,188051,3585,18472,36,74,41,255
1/9/2019 9:43:58 PM,62280,19882,19849,13498,36936,166931,6955,18571,36,63,37,255
1/9/2019 9:43:59 PM,307895,6722,832,3904,3452,14225,1572,6760,36,64,35,255
1/9/2019 9:44:00 PM,52050,6686,9810,3613,24670,7535,4605,18048,31,74,38,255
1/9/2019 9:44:01 PM,9336,14760,8650,7953,11719,23324,4386,21788,31,80,56,255
1/9/2019 9:44:02 PM,9028,5824,3048,5753,9634,12310,15076,8615,31,87,63,255
1/9/2019 9:44:03 PM,329142,2182,7778,8441,9963,11860,3443,23022,35,94,63,255
1/9/2019 9:44:04 PM,113281,5756,4506,2615,2750,13326,4421,4188,35,78,63,255
1/9/2019 9:44:05 PM,300124,6599,16424,8120,12264,73851,9030,16184,35,74,54,255
1/9/2019 9:44:06 PM,8102,21479,8274,7169,6307,113483,5790,28119,35,54,51,255
1/9/2019 9:44:07 PM,161212,1774,3819,6868,6837,10480,4511,9997,35,54,48,255
1/9/2019 9:44:08 PM,188611,10350,15037,6655,17437,39147,6323,39350,35,61,43,255
1/9/2019 9:44:09 PM,23098,6149,1100,1469,3071,12334,1586,2946,35,63,50,255
1/9/2019 9:44:10 PM,240382,10386,11203,7768,16676,69328,12108,34225,35,74,50,255
1/9/2019 9:44:11 PM,13139,14877,14320,25116,9356,128905,4345,19401,35,57,48,255
1/9/2019 9:44:12 PM,45095,1832,3332,7665,10628,6744,10540,19233,35,67,41,255
1/9/2019 9:44:13 PM,1021493,10351,3820,3715,3357,51811,1782,7323,35,60,35,255
1/9/2019 9:44:14 PM,11574,19376,4362,6064,6849,80266,8628,52994,35,51,37,255
1/9/2019 9:44:15 PM,18599,12421,6058,7295,7723,32450,5223,22645,35,57,43,255
