Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 7:40:00 PM,292735,48023,17348,4829,51358,91639,1693,397997,35,70,47,255
1/9/2019 7:40:01 PM,1916618,249001,43199,15405,211738,470100,3957,1519293,40,80,51,255
1/9/2019 7:40:02 PM,742387,344621,93363,25549,178025,695424,5171,1582436,33,78,61,255
1/9/2019 7:40:03 PM,1247462,255870,45637,7967,241137,184723,3397,1443483,46,84,69,255
1/9/2019 7:40:04 PM,587939,194370,33024,7402,166424,296604,7945,1401208,38,84,69,255
1/9/2019 7:40:05 PM,716276,45784,8832,2578,42340,156499,736,380923,35,83,64,255
1/9/2019 7:40:06 PM,1022186,85026,88335,56754,165112,332604,2784,1488438,44,90,60,255
1/9/2019 7:40:07 PM,958188,122213,117794,31406,298212,690368,8615,1402224,32,87,48,255
1/9/2019 7:40:08 PM,1150129,245410,36200,7343,236913,330866,5484,1342410,34,87,48,255
1/9/2019 7:40:09 PM,192713,323399,12865,9962,130702,277801,2615,1285322,35,87,57,255
1/9/2019 7:40:10 PM,1162512,27699,19057,4651,40250,169004,1156,291275,43,80,54,255
1/9/2019 7:40:11 PM,1958368,116357,27901,6285,186547,576937,11787,1164802,31,77,53,255
1/9/2019 7:40:12 PM,1325941,136112,102613,9864,188675,379332,1799,1122093,35,75,51,255
1/9/2019 7:40:13 PM,802320,30543,20604,1686,119553,131237,1898,1086022,31,87,37,255
1/9/2019 7:40:14 PM,751158,114822,30059,46803,124221,373895,3401,1059618,36,90,38,255
1/9/2019 7:40:15 PM,652952,140620,22973,3154,110021,178492,3353,1052564,39,93,48,255
1/9/2019 7:40:16 PM,176248,8855,13144,1159,29414,113358,506,243501,39,90,38,255
1/9/2019 7:40:17 PM,852020,18924,17204,2865,35780,85273,1213,236733,35,81,41,255
1/9/2019 7:40:18 PM,158971,137887,12434,12353,63533,143135,1740,899026,51,81,51,255
1/9/2019 7:40:19 PM,661022,10422,5824,13196,121871,334436,3729,901779,51,81,26,255
1/9/2019 7:40:20 PM,237202,275331,24301,17629,69569,252652,3613,880013,51,75,44,255
1/9/2019 7:40:21 PM,963580,7605,7630,5328,100343,242641,2899,873736,44,77,27,255
1/9/2019 7:40:22 PM,532676,21023,19182,8251,33977,105663,1920,787153,44,77,20,255
1/9/2019 7:40:23 PM,823067,92948,9709,10967,59872,58348,1719,750293,41,78,50,255
1/9/2019 7:40:24 PM,32843,125096,30453,18416,52567,203669,1040,703951,41,80,44,255
1/9/2019 7:40:25 PM,463859,56509,3397,2445,14736,50153,954,175273,47,69,74,255
