Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:02:53 PM,3502,2209,2634,10538,8494,8443,11131,55419,42,88,64,255
1/9/2019 10:02:54 PM,5805,8963,15908,3953,7923,13571,5721,71360,42,87,63,255
1/9/2019 10:02:55 PM,11579,2703,4236,4548,6790,12850,4822,84721,42,88,54,255
1/9/2019 10:02:56 PM,6313,10948,6938,9549,12186,13823,8933,83928,42,88,53,255
1/9/2019 10:02:57 PM,6726,3436,13439,3883,13813,21120,6885,46603,42,81,61,255
1/9/2019 10:02:58 PM,8991,11784,7507,4990,15739,18349,8091,62458,42,88,54,255
1/9/2019 10:02:59 PM,8851,11169,11565,7335,12657,19097,7429,56935,42,87,61,255
1/9/2019 10:03:00 PM,10656,5487,29654,6358,7250,8372,10684,40121,42,80,74,255
1/9/2019 10:03:01 PM,22235,10512,2126,5191,7433,16105,8234,54287,42,77,70,255
1/9/2019 10:03:02 PM,46977,22767,52161,8866,13030,12865,6033,96536,42,66,84,255
1/9/2019 10:03:03 PM,3545,11220,22669,17603,12231,62303,5037,55146,42,57,80,255
1/9/2019 10:03:04 PM,469856,3429,33639,7915,14483,20712,8410,78197,42,61,75,255
1/9/2019 10:03:05 PM,11337,29436,31913,30338,13434,37573,14985,55600,42,54,80,255
1/9/2019 10:03:06 PM,164818,17901,22242,9832,26077,9813,7896,62407,42,66,70,255
1/9/2019 10:03:07 PM,186220,2048,1675,4900,5047,13444,2774,14028,42,75,64,255
1/9/2019 10:03:08 PM,6297,31056,23402,21553,38384,78763,10711,135849,42,75,56,255
1/9/2019 10:03:09 PM,1561812,3059,36982,34959,39446,35949,27945,41742,42,88,50,255
1/9/2019 10:03:10 PM,8613,19389,7437,97413,38972,176800,27596,23369,42,78,29,255
1/9/2019 10:03:11 PM,104544,29491,38674,21344,14034,18765,9567,68936,42,74,48,255
1/9/2019 10:03:12 PM,30775,14414,5303,4850,2202,12319,2724,19213,42,60,56,255
1/9/2019 10:03:13 PM,1609,4614,29260,16510,17178,13832,8410,45233,42,57,63,255
1/9/2019 10:03:14 PM,149251,3948,57071,9611,15189,14401,7021,60297,42,57,90,255
1/9/2019 10:03:15 PM,318245,6436,21710,3453,10638,45050,11197,103281,42,56,80,255
1/9/2019 10:03:16 PM,127966,2790,955,2388,1741,12808,1697,8319,42,60,66,255
1/9/2019 10:03:17 PM,105157,7566,6971,3323,2877,18840,1604,9163,42,44,63,255
1/9/2019 10:03:18 PM,78569,27602,8892,4580,14394,19864,6994,64001,42,48,60,255
