Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:02:01 PM,46147,2200,2074,1001,3224,2873,1106,11842,66,83,67,255
1/9/2019 10:02:02 PM,160188,362,37401,9839,9173,12008,7010,46719,66,69,70,255
1/9/2019 10:02:03 PM,12603,13147,9470,8726,13163,18422,13486,46942,66,74,74,255
1/9/2019 10:02:04 PM,13576,3259,10423,7079,15438,5683,9720,35732,66,88,77,255
1/9/2019 10:02:05 PM,3045,5991,18727,11139,5004,14012,9318,79440,66,77,78,255
1/9/2019 10:02:06 PM,8122,83969,35545,13992,6625,10744,14691,54678,66,63,88,255
1/9/2019 10:02:07 PM,15631,552,18943,11922,14523,7061,5951,25769,66,69,87,255
1/9/2019 10:02:08 PM,42294,5970,15999,3262,13952,7805,15208,40476,66,64,90,255
1/9/2019 10:02:09 PM,63940,42677,19105,7029,18225,44232,7600,62297,66,67,90,255
1/9/2019 10:02:10 PM,83865,7346,10045,9041,16298,19142,10551,94580,66,90,69,255
1/9/2019 10:02:11 PM,4169,12923,5475,7447,8542,73578,8219,64041,66,70,61,255
1/9/2019 10:02:12 PM,4517,9083,22026,5266,8648,8230,5541,56558,66,64,66,255
1/9/2019 10:02:13 PM,76198,11935,36245,14913,10561,11061,10696,34100,66,64,69,255
1/9/2019 10:02:14 PM,13242,772,2023,1559,1765,42534,9059,20290,66,41,51,255
1/9/2019 10:02:15 PM,26921,9225,25984,10128,14395,28263,6072,50309,66,50,63,255
1/9/2019 10:02:16 PM,94791,1732,12141,10453,11732,41454,11335,41427,66,48,44,255
1/9/2019 10:02:17 PM,1051881,7037,43166,4055,22808,36573,20213,65397,66,53,40,255
1/9/2019 10:02:18 PM,76457,17609,15962,5959,14090,83575,9646,51681,66,63,56,255
1/9/2019 10:02:19 PM,1104054,6805,891,2098,1768,80545,1457,5004,66,40,40,255
1/9/2019 10:02:20 PM,15194,27975,5129,14708,8054,187727,45629,74298,66,23,38,255
1/9/2019 10:02:21 PM,90550,5083,3188,9364,13267,19176,22051,88947,66,27,26,255
1/9/2019 10:02:22 PM,51213,11912,1783,2752,3302,21672,1908,16170,66,26,29,255
1/9/2019 10:02:23 PM,7996,18382,11933,3237,6376,13104,17980,67491,66,44,51,255
1/9/2019 10:02:24 PM,7085,2716,5364,6889,7931,7426,14309,40924,66,69,57,255
1/9/2019 10:02:25 PM,15758,5393,22364,20765,8556,4126,13785,37649,66,64,69,255
1/9/2019 10:02:26 PM,835811,9958,14845,17750,9229,7641,5209,44355,66,77,74,255
