Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:05:56 PM,39170,7818,14980,19073,17715,19104,6273,25482,39,87,53,255
1/9/2019 10:05:57 PM,7312,9359,21758,4169,10826,16743,7766,13802,39,81,69,255
1/9/2019 10:05:58 PM,42017,4396,28959,12618,7666,13302,8386,13516,39,81,69,255
1/9/2019 10:05:59 PM,99551,4972,25928,8702,9824,9263,8776,11480,39,80,80,255
1/9/2019 10:06:00 PM,56198,1313,1955,2619,3351,18490,3769,10488,39,69,69,255
1/9/2019 10:06:01 PM,16127,24990,5398,2932,15157,69700,19930,19117,39,66,60,255
1/9/2019 10:06:02 PM,1711045,11011,4351,9419,23577,66538,16562,20373,35,70,43,255
1/9/2019 10:06:03 PM,1264877,84679,158992,62041,36383,250636,23409,37722,36,60,38,255
1/9/2019 10:06:04 PM,1982116,41897,13432,5318,13316,99533,7251,9377,36,53,50,255
1/9/2019 10:06:05 PM,398474,12959,55279,7915,8865,66699,16956,24310,36,44,57,255
1/9/2019 10:06:06 PM,637847,58971,8981,13391,28451,335990,9494,22928,36,30,60,255
1/9/2019 10:06:07 PM,12432,3986,33112,10614,14858,38267,20627,14197,36,41,57,255
1/9/2019 10:06:08 PM,13006,33148,15349,12655,20572,10154,15602,33222,36,54,66,255
1/9/2019 10:06:09 PM,156303,12587,14907,9726,5644,8300,17035,24723,36,63,69,255
1/9/2019 10:06:10 PM,2114,6830,7744,8067,10256,135661,12002,34684,36,63,63,255
1/9/2019 10:06:11 PM,7517,13281,22310,4523,13848,50017,19618,25093,36,61,61,255
1/9/2019 10:06:12 PM,13830,3026,14086,10600,11682,15014,6145,28585,36,61,53,255
1/9/2019 10:06:13 PM,11552,13316,71588,6526,14622,15676,7349,12996,36,61,60,255
1/9/2019 10:06:14 PM,78919,4912,22397,1876,10954,26175,11689,8944,36,70,78,255
1/9/2019 10:06:15 PM,15125,12325,61789,4875,16405,26570,11507,26111,36,70,90,255
1/9/2019 10:06:16 PM,14147,4889,20677,3770,9737,12130,8362,30304,36,67,96,255
1/9/2019 10:06:17 PM,22939,24215,6414,9896,9498,22692,9962,24008,36,69,84,255
1/9/2019 10:06:18 PM,9463,11572,48702,8708,11485,19713,2880,44400,36,66,93,255
1/9/2019 10:06:19 PM,5106,27056,8694,3837,11431,41637,6335,37196,36,64,83,255
1/9/2019 10:06:20 PM,5919,6135,9204,10193,5531,8642,7254,41827,36,63,80,255
1/9/2019 10:06:21 PM,9203,22257,7723,7435,13205,23100,6776,40478,36,64,80,255
