Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:03:45 PM,3864,27857,7327,6407,16174,28989,7504,39825,34,60,48,255
1/9/2019 10:03:46 PM,88645,11424,34687,7658,9271,16687,13256,49964,34,53,70,255
1/9/2019 10:03:47 PM,173196,21038,6654,4667,9009,98952,4341,50694,34,51,70,255
1/9/2019 10:03:48 PM,15431,4398,1547,2340,1656,25798,2714,7633,34,38,57,255
1/9/2019 10:03:49 PM,50986,17015,2707,11093,10239,11970,15054,66854,34,40,54,255
1/9/2019 10:03:50 PM,3659,12719,7985,6384,15740,24299,9249,33427,34,50,47,255
1/9/2019 10:03:51 PM,10594,8963,24446,8173,11871,32092,15052,35856,34,60,54,255
1/9/2019 10:03:52 PM,9166,2775,16215,17370,10435,6422,8463,31151,34,81,64,255
1/9/2019 10:03:53 PM,8796,13084,57369,5140,10692,7030,5427,60759,34,74,80,255
1/9/2019 10:03:54 PM,360041,9800,8165,6867,9691,37123,12477,52841,34,64,77,255
1/9/2019 10:03:55 PM,2716,12541,20016,12997,9174,16435,14723,49204,34,66,78,255
1/9/2019 10:03:56 PM,7168,4721,5476,8980,18483,13624,13235,47042,34,74,70,255
1/9/2019 10:03:57 PM,4049,3122,6910,4100,7649,16051,9585,30983,34,80,51,255
1/9/2019 10:03:58 PM,3879,4812,4268,9327,6720,8189,5866,59331,34,88,53,255
1/9/2019 10:03:59 PM,3085,7137,7511,11829,12631,8607,13298,48092,34,97,47,255
1/9/2019 10:04:00 PM,6708,11624,11999,9860,18087,6228,7375,51069,34,94,56,255
1/9/2019 10:04:01 PM,3786,2919,4240,3612,9125,7498,10332,64335,34,100,56,255
1/9/2019 10:04:02 PM,7465,847,6362,4642,10180,7434,10822,49891,34,100,54,255
1/9/2019 10:04:03 PM,4507,7894,23187,4536,3881,5912,14247,38958,34,91,70,255
1/9/2019 10:04:04 PM,2190,3032,9653,7449,7517,18497,6694,49641,34,81,66,255
1/9/2019 10:04:05 PM,4156,11644,12199,18360,11078,30232,12751,52668,34,69,66,255
1/9/2019 10:04:06 PM,7922,12985,10891,6611,10507,15938,5983,80255,34,61,70,255
1/9/2019 10:04:07 PM,9025,13917,21170,7780,9542,22712,6827,61134,34,66,63,255
1/9/2019 10:04:08 PM,55037,12842,4005,9033,8758,41712,12053,48758,34,61,61,255
1/9/2019 10:04:09 PM,46135,34996,18330,4921,9795,77211,10924,37399,34,51,64,255
1/9/2019 10:04:10 PM,75111,5404,14097,9008,14903,13403,5595,62167,34,56,63,255
