Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:07:05 PM,8129,12317,27444,19024,15100,8544,30841,97021,32,70,67,255
1/9/2019 10:07:06 PM,13363,4623,13712,7503,12202,13516,14667,20668,32,75,57,255
1/9/2019 10:07:07 PM,452293,2030,2321,6191,19982,6272,11634,36900,32,90,43,255
1/9/2019 10:07:08 PM,145479,30801,18445,10358,18275,54779,16428,38164,32,91,56,255
1/9/2019 10:07:09 PM,73921,16928,6773,8143,9374,75043,10406,50027,32,77,44,255
1/9/2019 10:07:10 PM,3649,4909,4852,1947,2892,26525,5930,5787,32,60,40,255
1/9/2019 10:07:11 PM,23437,18138,32043,9784,13708,17356,3763,32140,32,40,60,255
1/9/2019 10:07:12 PM,32368,18517,19411,7622,4610,47393,6084,36631,32,29,61,255
1/9/2019 10:07:13 PM,4948,12762,61921,8659,6489,7359,15636,32670,32,27,84,255
1/9/2019 10:07:14 PM,9516,20319,12621,18401,11697,16390,7449,73213,32,37,94,255
1/9/2019 10:07:15 PM,10324,10773,31125,11505,9539,12188,6897,52994,32,37,93,255
1/9/2019 10:07:16 PM,31998,7963,3184,10509,22717,6566,9401,34121,32,63,84,255
1/9/2019 10:07:17 PM,34414,12855,10281,1458,8847,14767,18150,25362,32,74,74,255
1/9/2019 10:07:18 PM,301384,13100,4326,6589,15893,95864,12362,35234,32,69,57,255
1/9/2019 10:07:19 PM,6393,19449,6556,10534,26391,42290,10092,35153,32,75,47,255
1/9/2019 10:07:20 PM,2191,13642,21365,10899,13581,23064,8469,18686,32,61,56,255
1/9/2019 10:07:21 PM,10777,1031,5467,6112,9060,13715,9393,66919,32,66,41,255
1/9/2019 10:07:22 PM,36497,8297,9334,10319,12666,19101,7752,26561,32,75,51,255
1/9/2019 10:07:23 PM,221767,2411,8390,4649,8876,21042,11446,18507,32,70,51,255
1/9/2019 10:07:24 PM,17818,11288,21403,10245,12250,87246,8578,49913,32,64,41,255
1/9/2019 10:07:25 PM,7818,5822,5677,6408,11705,18256,11858,37244,32,63,47,255
1/9/2019 10:07:26 PM,698,3947,3356,13090,12543,3981,5950,48100,32,70,41,255
1/9/2019 10:07:27 PM,7618,930,11394,3167,11677,10226,4302,49512,32,78,47,255
1/9/2019 10:07:28 PM,8998,5032,2702,5750,3285,4159,7789,40227,32,87,53,255
1/9/2019 10:07:29 PM,5214,3198,8022,11122,13345,8368,18684,34168,32,91,53,255
1/9/2019 10:07:30 PM,8514,5203,7102,8450,8563,8304,6654,46510,32,83,57,255
