Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:56:08 PM,65246,6818,14350,7315,11705,114114,2242,23900,47,74,44,255
1/9/2019 9:56:09 PM,195176,12925,3889,4144,3751,26933,3545,28835,40,67,48,255
1/9/2019 9:56:10 PM,650893,2649,1744,1769,445,9351,367,2245,40,35,57,255
1/9/2019 9:56:11 PM,356200,32962,10288,16922,6788,32868,3557,44365,38,30,60,255
1/9/2019 9:56:12 PM,32496,1688,4637,3249,872,31805,1175,6994,38,16,61,255
1/9/2019 9:56:13 PM,85389,7494,5651,5133,5613,77249,3261,46267,38,11,48,255
1/9/2019 9:56:14 PM,122133,2341,2272,2623,1476,10437,1055,6267,39,24,47,255
1/9/2019 9:56:15 PM,524212,27516,4845,11370,7878,81578,7754,22258,39,23,37,255
1/9/2019 9:56:16 PM,75078,2094,3846,1851,1231,13785,1003,5334,39,35,43,255
1/9/2019 9:56:17 PM,364213,4481,6946,4188,6909,28279,3545,23006,39,48,51,255
1/9/2019 9:56:18 PM,343233,10479,5287,24846,5788,263583,2803,27031,39,29,34,255
1/9/2019 9:56:19 PM,32304,26227,2142,24808,15355,139195,3531,19296,39,30,24,255
1/9/2019 9:56:20 PM,138384,8674,14293,9523,7577,25560,3251,35270,39,43,29,255
1/9/2019 9:56:21 PM,26591,5497,4696,4830,11719,19067,3406,15799,39,51,29,255
1/9/2019 9:56:22 PM,87386,5563,11953,12379,3527,30931,4314,31752,33,66,50,255
1/9/2019 9:56:23 PM,36076,9070,5976,3208,2594,29033,3191,7386,33,63,60,255
1/9/2019 9:56:24 PM,23551,5571,7921,4753,5000,11070,10719,42270,33,64,63,255
1/9/2019 9:56:25 PM,336892,3153,3547,4463,7059,21766,3677,28972,45,60,57,255
1/9/2019 9:56:26 PM,39107,24945,8052,3470,8280,28784,2748,24264,45,67,67,255
1/9/2019 9:56:27 PM,623281,15860,11844,4096,9443,27614,4081,27736,45,80,74,255
1/9/2019 9:56:28 PM,104031,36128,13452,10685,18839,45221,6644,16304,43,80,74,255
1/9/2019 9:56:29 PM,87123,9780,7930,5886,10137,11107,8430,41727,43,81,87,255
1/9/2019 9:56:30 PM,42852,12529,11550,4692,4204,26188,5798,37711,43,77,83,255
1/9/2019 9:56:31 PM,5631,19872,7534,8253,8298,15394,6594,27136,43,80,84,255
1/9/2019 9:56:32 PM,25076,2213,1716,8214,10251,22800,3361,30320,43,87,64,255
1/9/2019 9:56:33 PM,7721,1701,8656,4818,8456,31048,5203,26295,43,81,54,255
