Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:54:20 PM,166259,26272,29473,20962,8071,35995,4871,27300,50,78,83,255
1/9/2019 9:54:21 PM,60604,33395,23540,3717,5610,74045,2645,28099,50,63,91,255
1/9/2019 9:54:22 PM,218614,7495,5056,4886,6152,16414,3703,39518,43,70,93,255
1/9/2019 9:54:23 PM,8764,5832,3316,5616,4680,43623,975,2686,43,70,57,255
1/9/2019 9:54:24 PM,7841,11828,13439,15683,21945,77689,2385,26212,43,84,37,255
1/9/2019 9:54:25 PM,64941,8453,9343,2265,5668,13487,4767,26692,40,100,40,255
1/9/2019 9:54:26 PM,8800,3064,2742,3356,2736,25462,2402,3126,40,93,24,255
1/9/2019 9:54:27 PM,52060,4675,8101,5529,6087,3189,11429,25358,32,100,51,255
1/9/2019 9:54:28 PM,253494,12687,11164,1936,2059,7676,752,8481,33,88,83,255
1/9/2019 9:54:29 PM,124951,7228,9573,2311,3534,38209,1019,9918,33,69,67,255
1/9/2019 9:54:30 PM,80225,63024,11835,4501,6486,173795,6930,30920,35,51,80,255
1/9/2019 9:54:31 PM,261503,19654,4008,4619,8889,81367,5359,14448,35,30,57,255
1/9/2019 9:54:32 PM,20679,11988,8254,4364,2163,25282,837,11485,35,27,41,255
1/9/2019 9:54:33 PM,34746,4992,2504,2006,959,11827,2316,9509,37,24,43,255
1/9/2019 9:54:34 PM,24559,2338,1770,2418,1373,48221,1049,7989,37,24,23,255
1/9/2019 9:54:35 PM,9488,8114,7466,3803,8685,5704,2506,33647,37,44,43,255
1/9/2019 9:54:36 PM,659731,3253,7231,2630,8795,15081,8238,38114,37,67,40,255
1/9/2019 9:54:37 PM,732069,15268,19350,22710,8920,160618,4533,25140,37,67,27,255
1/9/2019 9:54:38 PM,18804,9546,39150,24170,11550,91231,5573,26511,37,81,47,255
1/9/2019 9:54:39 PM,30085,3075,3678,9117,7137,12296,5360,26515,37,80,29,255
1/9/2019 9:54:40 PM,501656,20949,3672,21653,4613,15103,3134,38261,37,66,34,255
1/9/2019 9:54:41 PM,2512,15054,51042,4870,7133,108019,4231,15296,37,63,48,255
1/9/2019 9:54:42 PM,84323,19544,6746,845,3673,26509,1496,43573,37,63,60,255
1/9/2019 9:54:43 PM,2913,19976,16445,6104,3558,55854,2073,51811,37,35,69,255
1/9/2019 9:54:44 PM,4328,4341,3734,3197,4003,8021,6754,30209,37,43,67,255
1/9/2019 9:54:45 PM,579417,44994,12888,30578,9134,68593,5042,12068,34,50,66,255
