Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:58:11 PM,182059,1815,2823,1636,1121,5847,2007,23242,47,75,77,255
1/9/2019 9:58:12 PM,9713,3401,5349,1907,2033,11174,5229,17570,47,66,69,255
1/9/2019 9:58:13 PM,16046,9799,7822,8328,15646,15163,7622,85108,47,75,78,255
1/9/2019 9:58:14 PM,667124,4014,10467,3640,9257,36249,6654,91578,47,77,64,255
1/9/2019 9:58:15 PM,58053,6328,9918,8844,8203,18416,19075,58599,47,87,61,255
1/9/2019 9:58:16 PM,10947,18749,18620,12028,9682,61175,8549,57438,47,84,60,255
1/9/2019 9:58:17 PM,16842,20500,7680,8038,12915,41947,4866,118253,47,75,57,255
1/9/2019 9:58:18 PM,13419,2443,1769,4097,6398,20415,4684,49401,47,78,50,255
1/9/2019 9:58:19 PM,109880,3532,4131,5985,3379,7858,6691,61993,47,75,48,255
1/9/2019 9:58:20 PM,85272,27312,16622,13308,14630,21902,5297,70584,39,84,54,255
1/9/2019 9:58:21 PM,100510,17824,11584,7490,19382,30531,4719,76855,44,91,56,255
1/9/2019 9:58:22 PM,27464,1910,2406,5347,3045,19578,1401,19012,44,83,57,255
1/9/2019 9:58:23 PM,483391,1680,3017,4172,2603,7625,3125,10111,33,83,54,255
1/9/2019 9:58:24 PM,2861,14381,7708,14070,9506,39386,11214,62306,33,80,47,255
1/9/2019 9:58:25 PM,21455,2762,3369,2095,12636,6585,4065,73157,33,87,40,255
1/9/2019 9:58:26 PM,253535,13310,8571,11778,8156,74916,6161,73422,33,80,43,255
1/9/2019 9:58:27 PM,920106,28665,21858,15830,6970,89139,7068,48058,40,61,47,255
1/9/2019 9:58:28 PM,18146,47511,20769,22130,15681,130761,9730,36891,40,51,50,255
1/9/2019 9:58:29 PM,16402,12928,4541,8462,6095,17531,4013,91180,40,34,56,255
1/9/2019 9:58:30 PM,27725,17242,10453,20433,12026,92179,7649,67487,40,35,56,255
1/9/2019 9:58:31 PM,14393,2209,3639,9052,8847,12542,5352,70529,40,57,47,255
1/9/2019 9:58:32 PM,10215,8442,6657,4024,7725,33923,6615,80474,40,66,44,255
1/9/2019 9:58:33 PM,18435,5674,5091,3643,10333,21183,6826,48263,40,74,38,255
1/9/2019 9:58:34 PM,274143,9136,10609,6342,30373,17840,5319,66644,40,93,43,255
1/9/2019 9:58:35 PM,80665,7470,3220,16799,14047,46702,7945,83567,41,84,40,255
1/9/2019 9:58:36 PM,31551,8532,4019,4845,1963,39648,1194,14228,41,69,37,255
