Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:57:10 PM,5214,520,5871,3603,4797,21088,2627,14265,39,88,38,255
1/9/2019 9:57:11 PM,34549,1191,4969,7226,5085,16393,4008,17503,39,78,35,255
1/9/2019 9:57:12 PM,52341,13892,11427,6843,7361,37660,5780,28066,39,77,38,255
1/9/2019 9:57:13 PM,22521,24530,12559,17295,11268,105307,2991,36300,39,64,44,255
1/9/2019 9:57:14 PM,20069,824,8584,1992,3467,29278,2801,23555,39,56,48,255
1/9/2019 9:57:15 PM,16637,11698,11466,9037,9555,36227,6235,30235,39,53,56,255
1/9/2019 9:57:16 PM,17985,14458,4690,10944,10270,6301,5023,24983,39,67,60,255
1/9/2019 9:57:17 PM,66139,2880,8266,3676,4668,13460,3867,35726,39,78,66,255
1/9/2019 9:57:18 PM,43747,25085,12587,9664,4186,54005,2559,43034,39,70,74,255
1/9/2019 9:57:19 PM,738355,18977,23827,11083,9335,51538,3844,17659,31,66,78,255
1/9/2019 9:57:20 PM,235019,13485,2742,14876,10487,173141,4200,20126,40,43,53,255
1/9/2019 9:57:21 PM,61353,1152,2099,4769,1906,5615,1000,10161,40,44,47,255
1/9/2019 9:57:22 PM,201088,18331,7214,9318,14200,28604,5066,49921,40,63,44,255
1/9/2019 9:57:23 PM,233521,20893,25588,36636,11865,48355,8205,19131,43,64,43,255
1/9/2019 9:57:24 PM,110024,13906,19534,14490,24788,9952,7302,42680,39,93,66,255
1/9/2019 9:57:25 PM,100126,870,1988,1770,3316,13503,1923,8454,36,91,61,255
1/9/2019 9:57:26 PM,77150,10260,11942,11343,12317,40233,3263,40234,40,88,56,255
1/9/2019 9:57:27 PM,13289,3216,1724,3733,2291,16621,538,14333,40,87,47,255
1/9/2019 9:57:28 PM,14575,6343,2537,8465,9335,25815,8443,42494,40,78,34,255
1/9/2019 9:57:29 PM,27027,16494,11179,5236,12202,32327,7784,26739,40,78,48,255
1/9/2019 9:57:30 PM,3441,58566,29218,8458,12128,40595,7628,37572,40,67,63,255
1/9/2019 9:57:31 PM,103774,3457,4839,11703,5055,26549,2369,28904,40,70,63,255
1/9/2019 9:57:32 PM,3022,6639,1754,2252,1315,53071,747,9258,40,41,61,255
1/9/2019 9:57:33 PM,107805,1107,6761,4728,5277,17812,4750,24841,40,43,54,255
1/9/2019 9:57:34 PM,9360,11467,4210,2350,1852,39639,1204,7992,40,30,41,255
1/9/2019 9:57:35 PM,10565,5226,20162,14456,3525,22580,4001,24966,40,24,53,255
