Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:59:52 PM,376855,11771,23404,16178,12026,43047,8295,58457,45,74,47,255
1/9/2019 9:59:53 PM,23590,30708,32805,27216,22938,117344,9686,79226,45,70,44,255
1/9/2019 9:59:54 PM,292823,16029,2314,4506,9581,6833,4197,65445,39,78,56,255
1/9/2019 9:59:55 PM,13448,9037,2934,1393,2248,9293,1010,12919,39,60,75,255
1/9/2019 9:59:56 PM,7871,1786,2660,3485,3485,18260,3466,63095,39,60,64,255
1/9/2019 9:59:57 PM,1528,4880,10467,3102,2987,4066,8325,52914,39,61,80,255
1/9/2019 9:59:58 PM,5280,7353,12486,2784,5268,5076,4981,64707,39,54,87,255
1/9/2019 9:59:59 PM,154533,3083,5270,2600,6334,6803,6158,60883,38,69,80,255
1/9/2019 10:00:00 PM,285702,19304,5259,5248,14697,53788,5170,59838,36,70,87,255
1/9/2019 10:00:01 PM,28716,7812,1554,3423,1235,25615,1043,4175,36,56,69,255
1/9/2019 10:00:02 PM,150124,1971,3195,6442,10085,17328,6502,57268,33,64,44,255
1/9/2019 10:00:03 PM,4318,20612,5984,6117,12017,9577,5676,78878,33,61,50,255
1/9/2019 10:00:04 PM,114634,4945,3681,20029,7338,15679,10803,64740,33,66,47,255
1/9/2019 10:00:05 PM,7462,7018,3325,3703,2453,13168,3729,12569,33,78,53,255
1/9/2019 10:00:06 PM,19702,2397,4246,3676,6879,13324,6606,68186,33,77,57,255
1/9/2019 10:00:07 PM,102161,887,3159,7451,4498,24231,4723,91965,33,69,37,255
1/9/2019 10:00:08 PM,63686,45074,13533,26612,14742,209163,3816,62528,33,51,38,255
1/9/2019 10:00:09 PM,17100,3352,5067,1617,3324,20596,1394,10094,33,51,34,255
1/9/2019 10:00:10 PM,64461,2145,9082,5549,7607,36119,7166,73068,33,43,29,255
1/9/2019 10:00:11 PM,67938,4953,1965,2544,1700,10661,1679,18115,39,38,44,255
1/9/2019 10:00:12 PM,1730,2799,3139,1348,2354,9146,992,21928,39,50,51,255
1/9/2019 10:00:13 PM,17019,3843,6862,3378,6299,9303,4670,79244,39,60,56,255
1/9/2019 10:00:14 PM,300950,4917,3446,5615,18280,6747,5609,85282,33,78,60,255
1/9/2019 10:00:15 PM,1889,632,720,4048,2610,33070,1004,17037,33,77,37,255
1/9/2019 10:00:16 PM,7448,3204,6243,3790,6531,13765,3488,70636,33,80,37,255
1/9/2019 10:00:17 PM,6938,1788,3688,5257,7145,34365,6382,71100,33,74,23,255
