Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:27:39 PM,11144,14371,14272,6384,8141,9261,7814,68568,44,74,78,255
1/9/2019 10:27:40 PM,22457,8395,10935,18783,8039,16272,9506,36435,44,69,69,255
1/9/2019 10:27:41 PM,102666,3054,12310,4676,19679,10726,3471,25643,44,84,80,255
1/9/2019 10:27:42 PM,7318,21620,2315,5969,8500,39399,7911,55716,44,80,67,255
1/9/2019 10:27:43 PM,69792,4703,17202,2045,12387,16900,14031,63500,44,83,63,255
1/9/2019 10:27:44 PM,133207,3637,7813,1248,2455,10017,1940,8967,44,78,69,255
1/9/2019 10:27:45 PM,23287,7493,29683,4907,7248,20575,7921,88536,44,60,78,255
1/9/2019 10:27:46 PM,67883,25027,5177,8467,6268,18554,10548,35774,44,60,84,255
1/9/2019 10:27:47 PM,29070,1119,1918,1972,2152,15327,4936,12027,44,51,70,255
1/9/2019 10:27:48 PM,8894,7351,18193,10282,12998,20544,5357,59206,44,60,67,255
1/9/2019 10:27:49 PM,27681,10913,6398,17758,6256,82301,8797,22625,44,53,50,255
1/9/2019 10:27:50 PM,64321,13516,6805,17540,24742,30789,7213,45483,44,64,40,255
1/9/2019 10:27:51 PM,14288,2456,12096,11782,4796,20200,3420,53487,44,66,50,255
1/9/2019 10:27:52 PM,164634,8822,31190,9773,10167,12980,9588,44811,44,63,54,255
1/9/2019 10:27:53 PM,291264,18467,11361,8766,7700,84218,10637,51788,44,64,60,255
1/9/2019 10:27:54 PM,22682,10542,17949,3688,6928,46954,9027,75138,44,48,64,255
1/9/2019 10:27:55 PM,30400,4601,5501,9032,9101,31006,6663,31860,44,53,57,255
1/9/2019 10:27:56 PM,248418,4503,6754,2178,2062,25779,2116,14865,44,41,48,255
1/9/2019 10:27:57 PM,15374,13889,10541,8388,7750,96013,13160,47070,44,40,44,255
1/9/2019 10:27:58 PM,684716,6807,6619,6197,10167,10817,7327,28606,44,54,44,255
1/9/2019 10:27:59 PM,88519,26657,8353,8154,13447,34493,6066,52320,44,53,54,255
1/9/2019 10:28:00 PM,4956,44443,3677,7016,5645,39885,9356,51235,44,54,64,255
1/9/2019 10:28:01 PM,5950,4281,16912,5603,10979,12737,5472,79589,44,69,77,255
1/9/2019 10:28:02 PM,9443,16986,20997,7164,7290,19426,11115,39125,44,57,83,255
1/9/2019 10:28:03 PM,6656,3410,36839,7518,10613,11793,7779,63993,44,57,91,255
1/9/2019 10:28:04 PM,21217,8431,19920,4392,13696,8037,11623,42856,44,75,93,255
