Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:26:09 PM,32670,370,13404,8070,13517,136284,9863,35168,40,70,75,255
1/9/2019 10:26:10 PM,6696,7139,6623,5044,6300,56203,11775,47477,40,57,63,255
1/9/2019 10:26:11 PM,5171,3737,26419,3304,6261,8018,10655,52024,40,53,67,255
1/9/2019 10:26:12 PM,73492,2271,7644,8467,7871,18163,7378,79182,40,56,48,255
1/9/2019 10:26:13 PM,28959,12932,15515,19482,8762,42193,8062,66868,40,57,61,255
1/9/2019 10:26:14 PM,12096,16072,16637,10796,13360,19987,13819,42129,40,69,75,255
1/9/2019 10:26:15 PM,55753,4596,4569,4307,11704,28276,8023,42372,40,75,56,255
1/9/2019 10:26:16 PM,112914,17717,18407,6835,12048,60130,10157,43338,40,66,60,255
1/9/2019 10:26:17 PM,11179,6662,3111,737,3592,6567,2596,17188,40,74,67,255
1/9/2019 10:26:18 PM,15187,8969,8464,5890,14608,7301,7133,79152,40,80,66,255
1/9/2019 10:26:19 PM,10313,32366,54451,10264,5139,13101,5555,25554,40,63,91,255
1/9/2019 10:26:20 PM,8378,9698,15833,8772,4757,12810,5978,58526,40,63,97,255
1/9/2019 10:26:21 PM,5108,19851,10518,7098,8779,32928,13843,52770,40,57,94,255
1/9/2019 10:26:22 PM,10689,926,4965,15110,9688,26291,10753,43570,40,51,78,255
1/9/2019 10:26:23 PM,18453,5615,22537,5704,8636,6089,8176,50596,40,66,70,255
1/9/2019 10:26:24 PM,814,32478,16289,21665,6173,31746,4823,25149,40,63,69,255
1/9/2019 10:26:25 PM,23139,930,4271,17533,7444,5635,6271,59569,40,78,57,255
1/9/2019 10:26:26 PM,26483,6608,8699,13025,5009,59728,3628,38445,40,63,63,255
1/9/2019 10:26:27 PM,11749,10001,16635,11989,12117,34781,9489,61939,40,61,53,255
1/9/2019 10:26:28 PM,7591,8204,6924,7143,8195,3052,6691,43707,40,78,53,255
1/9/2019 10:26:29 PM,5826,15022,8570,15888,10305,7627,10094,39777,40,70,64,255
1/9/2019 10:26:30 PM,5775,8007,40344,4442,7320,5886,3524,47375,40,78,90,255
1/9/2019 10:26:31 PM,3676,4494,5611,8038,8795,25849,3258,55465,40,80,83,255
1/9/2019 10:26:32 PM,8626,16799,4207,5892,9831,7249,4982,39617,40,78,84,255
1/9/2019 10:26:33 PM,725,6836,22053,4743,7161,9892,4380,52842,40,70,91,255
1/9/2019 10:26:34 PM,8158,6731,9073,10197,6412,19134,8372,59610,40,75,75,255
