Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:29:33 PM,227223,6716,5692,5450,15215,14656,12784,67893,50,69,80,255
1/9/2019 10:29:34 PM,7925,8270,25416,11572,5993,16577,9520,131216,50,67,77,255
1/9/2019 10:29:35 PM,7346,2614,10429,12576,6007,10704,4000,112637,50,75,75,255
1/9/2019 10:29:36 PM,4830,8512,7580,10349,10137,8434,6358,68467,50,78,67,255
1/9/2019 10:29:37 PM,10931,3222,16568,2586,9795,3784,5645,87045,50,77,80,255
1/9/2019 10:29:38 PM,92203,12600,19132,1198,10699,26250,9304,91780,50,80,78,255
1/9/2019 10:29:39 PM,696470,25934,6463,5268,8341,47311,6746,94014,50,74,81,255
1/9/2019 10:29:40 PM,46776,30603,25619,10157,12916,43574,11865,87243,50,61,84,255
1/9/2019 10:29:41 PM,13856,19494,22720,10027,8943,16428,16961,62129,50,53,84,255
1/9/2019 10:29:42 PM,49679,13638,18236,5965,5708,35712,4436,92826,50,44,83,255
1/9/2019 10:29:43 PM,661787,1233,5579,1659,2564,13791,2177,33480,50,47,80,255
1/9/2019 10:29:44 PM,92859,12604,10747,5853,5370,22328,2381,30252,50,44,78,255
1/9/2019 10:29:45 PM,1616622,5699,5742,3243,3146,34441,2950,21729,50,38,64,255
1/9/2019 10:29:46 PM,445744,1427,20537,9466,10683,33274,14355,84876,50,47,57,255
1/9/2019 10:29:47 PM,47551,18127,38195,14906,11352,147167,8075,83698,50,38,56,255
1/9/2019 10:29:48 PM,9178,10299,4545,2101,2946,35765,4545,17144,50,30,51,255
1/9/2019 10:29:49 PM,65619,13888,10920,5499,13100,14118,7248,70658,50,47,60,255
1/9/2019 10:29:50 PM,39151,10325,21605,7595,4913,25380,10245,108347,50,40,66,255
1/9/2019 10:29:51 PM,19752,11107,18627,4689,5501,27209,7089,106581,50,44,74,255
1/9/2019 10:29:52 PM,6416,8850,9325,2854,12129,11237,7111,66920,50,63,80,255
1/9/2019 10:29:53 PM,5902,22641,6852,9072,11249,8911,11897,87309,50,61,81,255
1/9/2019 10:29:54 PM,14795,9004,4901,7075,8206,18572,16959,76409,50,70,75,255
1/9/2019 10:29:55 PM,174960,8396,15715,9689,10663,53604,6250,75155,50,75,64,255
1/9/2019 10:29:56 PM,3113,4318,16919,20677,14594,40556,4003,61963,50,69,54,255
1/9/2019 10:29:57 PM,23626,10459,11919,10403,13068,32457,13588,105615,50,67,47,255
1/9/2019 10:29:58 PM,14918,14023,10154,7533,10591,55480,6499,50201,50,61,43,255
