Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:28:40 PM,14477,11150,20755,11375,6968,66564,3282,30600,42,50,56,255
1/9/2019 10:28:41 PM,6477,5030,10778,6030,4738,16099,7397,46725,42,50,51,255
1/9/2019 10:28:42 PM,5398,3056,28807,8597,9523,8486,8876,84198,42,61,67,255
1/9/2019 10:28:43 PM,12585,17818,18893,6443,7256,28679,5100,57014,42,50,77,255
1/9/2019 10:28:44 PM,6967,5200,8943,3556,23802,18278,7298,38588,42,70,75,255
1/9/2019 10:28:45 PM,52484,5141,10705,1535,9662,14624,11964,32406,42,80,77,255
1/9/2019 10:28:46 PM,8454,5947,3389,1673,2125,3903,4871,17398,42,77,75,255
1/9/2019 10:28:47 PM,790281,30843,7282,15252,7882,32154,7312,42453,42,77,74,255
1/9/2019 10:28:48 PM,8118,467,3403,2733,3064,5044,2336,11636,42,67,75,255
1/9/2019 10:28:49 PM,39467,1974,16150,5893,12219,10767,3762,33916,42,69,75,255
1/9/2019 10:28:50 PM,2688,5757,24393,7345,6527,28399,3014,61289,42,66,69,255
1/9/2019 10:28:51 PM,353767,1769,3757,8001,10070,9690,5145,40626,42,81,57,255
1/9/2019 10:28:52 PM,15998,17116,4909,9922,9719,93372,4729,37859,42,67,51,255
1/9/2019 10:28:53 PM,2627,6438,5090,6638,6313,46045,4957,57184,42,56,41,255
1/9/2019 10:28:54 PM,1630,4894,18450,6336,5392,14247,5147,49891,42,57,43,255
1/9/2019 10:28:55 PM,8473,7911,10613,9480,8446,16512,6422,50776,42,50,53,255
1/9/2019 10:28:56 PM,7340,106,7256,5915,4684,9025,7109,46035,42,61,60,255
1/9/2019 10:28:57 PM,42495,3252,9090,861,11062,13922,2027,21203,42,74,67,255
1/9/2019 10:28:58 PM,245490,26320,12599,18511,13777,15967,3358,41328,42,80,67,255
1/9/2019 10:28:59 PM,27715,35367,12534,12316,9740,73024,8044,49107,42,69,66,255
1/9/2019 10:29:00 PM,42306,15673,4353,15074,13297,33307,9478,31497,42,67,64,255
1/9/2019 10:29:01 PM,22206,10003,1981,4250,6944,6630,3070,43201,42,66,66,255
1/9/2019 10:29:02 PM,29968,10980,17381,15401,7127,6864,17213,65851,42,63,67,255
1/9/2019 10:29:03 PM,3682,1416,42856,6335,5931,19833,6277,46116,42,64,77,255
1/9/2019 10:29:04 PM,7669,6730,8252,5965,10166,12506,3848,74819,42,67,81,255
1/9/2019 10:29:05 PM,94365,6904,7856,7977,10091,22868,10007,52938,42,64,78,255
