Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:30:31 PM,40238,1733,2614,6189,6988,19200,5086,24368,35,80,44,255
1/9/2019 10:30:32 PM,13084,5051,2514,1789,1366,15794,2240,6536,35,69,51,255
1/9/2019 10:30:33 PM,9303,580,4140,6991,7953,34042,8323,44471,35,63,34,255
1/9/2019 10:30:34 PM,5603,13019,10903,12446,28809,73890,12683,53317,35,63,20,255
1/9/2019 10:30:35 PM,5168,13224,12456,10557,7011,13039,5430,48053,35,57,40,255
1/9/2019 10:30:36 PM,57739,8170,7488,8543,3881,14017,4206,48012,35,66,44,255
1/9/2019 10:30:37 PM,10852,23292,12439,9119,7118,12141,7339,48698,35,63,70,255
1/9/2019 10:30:38 PM,66043,7142,15916,7910,8146,36717,8804,41651,35,54,80,255
1/9/2019 10:30:39 PM,18982,3397,7875,3137,2555,4704,1437,4783,35,53,83,255
1/9/2019 10:30:40 PM,54047,9309,6983,5086,7629,14261,4593,38548,35,57,81,255
1/9/2019 10:30:41 PM,578527,2697,16759,9335,5983,28350,4827,29223,35,56,70,255
1/9/2019 10:30:42 PM,20310,5398,8569,19965,4833,101583,8431,41997,35,47,56,255
1/9/2019 10:30:43 PM,3227,2300,5804,3544,7210,25660,10964,53969,35,50,40,255
1/9/2019 10:30:44 PM,87155,9880,8660,8936,5194,16116,11830,29009,35,44,40,255
1/9/2019 10:30:45 PM,22504,5487,3241,8790,10512,19113,8355,45094,35,54,34,255
1/9/2019 10:30:46 PM,27344,10154,6256,3216,8445,9923,5457,16894,35,75,54,255
1/9/2019 10:30:47 PM,1705,6963,8294,6197,5526,7364,3915,48409,35,77,67,255
1/9/2019 10:30:48 PM,17535,500,31559,6639,7235,5862,6924,31854,35,78,78,255
1/9/2019 10:30:49 PM,5153,4369,37537,3599,5142,5243,3045,35908,35,66,100,255
1/9/2019 10:30:50 PM,4092,14736,2579,3986,8423,12868,9148,28259,35,64,100,255
1/9/2019 10:30:51 PM,6341,4727,22616,6094,9821,21261,6224,23628,35,64,97,255
1/9/2019 10:30:52 PM,48597,8214,4820,19212,9424,10320,7580,49250,35,70,80,255
1/9/2019 10:30:53 PM,16786,5210,5535,8931,7588,46198,5073,45148,35,74,50,255
1/9/2019 10:30:54 PM,8407,526,8028,9399,5323,23578,10800,21404,35,66,38,255
1/9/2019 10:30:55 PM,79410,7257,6681,4241,5715,14732,3997,36858,35,66,37,255
1/9/2019 10:30:56 PM,20560,4500,2171,1016,2901,29924,2015,6992,35,51,30,255
