Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:19:07 PM,183090,7343,12336,7652,4838,79504,3457,24663,35,70,17,255
1/9/2019 10:19:08 PM,7852,10546,20715,7440,5245,115018,3484,30231,35,56,21,255
1/9/2019 10:19:09 PM,83400,927,4131,4908,7772,8093,5887,37044,35,51,24,255
1/9/2019 10:19:10 PM,5188,40331,6883,17400,5405,31406,5733,5592,35,35,43,255
1/9/2019 10:19:11 PM,9573,2122,3756,11109,9163,7659,4449,25491,35,60,43,255
1/9/2019 10:19:12 PM,601879,4762,4327,3290,8672,16316,3337,24219,35,81,47,255
1/9/2019 10:19:13 PM,36531,11366,22547,5235,9082,26898,3965,24861,35,67,60,255
1/9/2019 10:19:14 PM,13594,13177,15466,24783,8011,97669,3278,19755,35,66,44,255
1/9/2019 10:19:15 PM,65168,10171,7497,3406,7269,12730,4599,36797,34,57,57,255
1/9/2019 10:19:16 PM,112471,545,782,2599,2577,9650,1409,7669,39,54,44,255
1/9/2019 10:19:17 PM,78649,8866,5507,9013,8900,65644,3826,27512,39,51,29,255
1/9/2019 10:19:18 PM,23458,1906,1366,2208,1635,8413,1175,6787,39,60,30,255
1/9/2019 10:19:19 PM,10066,11269,19747,3337,12143,74048,6920,37812,39,51,24,255
1/9/2019 10:19:20 PM,309284,8652,10422,8926,10992,18334,2738,19251,31,53,43,255
1/9/2019 10:19:21 PM,12502,6990,5847,1773,1495,22834,1116,7360,31,43,53,255
1/9/2019 10:19:22 PM,30942,12763,8628,5716,4628,22676,4798,17060,31,41,61,255
1/9/2019 10:19:23 PM,8127,8962,7371,6638,4199,22825,1496,54951,31,41,63,255
1/9/2019 10:19:24 PM,15391,672,5557,2503,12762,5824,3277,25983,31,54,57,255
1/9/2019 10:19:25 PM,25218,2560,4674,2739,5084,4319,3694,31293,31,77,61,255
1/9/2019 10:19:26 PM,48851,22539,14427,11907,7150,65249,3981,15239,31,70,57,255
1/9/2019 10:19:27 PM,68588,4496,2113,13082,7510,22975,7385,43149,35,80,47,255
1/9/2019 10:19:28 PM,301026,3458,4301,5208,1881,4118,1548,4878,35,61,56,255
1/9/2019 10:19:29 PM,19331,5165,2793,2113,1501,13315,818,3209,35,43,53,255
1/9/2019 10:19:30 PM,39690,3261,14845,3525,4998,22345,3813,23742,38,50,54,255
1/9/2019 10:19:31 PM,99631,1156,3360,2185,1592,30408,941,3218,38,34,53,255
1/9/2019 10:19:32 PM,24054,20560,6021,2637,2078,27201,619,6808,38,20,53,255
