Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:16:18 PM,77558,4722,4073,6817,11624,12150,10230,38919,43,75,41,255
1/9/2019 10:16:19 PM,142664,8123,4978,3217,4607,37197,1910,4006,43,66,40,255
1/9/2019 10:16:20 PM,201684,10753,7124,11478,9350,44522,13463,40844,43,63,47,255
1/9/2019 10:16:21 PM,19718,49147,10709,16065,11514,112426,8561,25005,43,51,47,255
1/9/2019 10:16:22 PM,325878,14304,6410,4699,9380,5255,7425,24042,38,48,61,255
1/9/2019 10:16:23 PM,2470,11872,10725,4586,2028,21786,616,7815,38,43,70,255
1/9/2019 10:16:24 PM,4768,7580,9328,4235,3068,20585,6177,29433,38,37,81,255
1/9/2019 10:16:25 PM,13530,1555,3483,5248,7974,10460,3394,17509,38,54,74,255
1/9/2019 10:16:26 PM,74046,4134,6844,4741,5715,35108,4038,41448,38,44,57,255
1/9/2019 10:16:27 PM,21112,17060,11717,3607,7934,21192,8584,34832,38,54,57,255
1/9/2019 10:16:28 PM,5890,13450,13233,18058,6198,21541,7058,26247,38,61,57,255
1/9/2019 10:16:29 PM,33441,4479,5340,4517,8639,3178,3210,37916,38,64,67,255
1/9/2019 10:16:30 PM,58565,23995,14620,7192,9913,22576,5256,35793,40,66,84,255
1/9/2019 10:16:31 PM,117741,2520,16044,8923,7116,8176,5386,40232,40,70,83,255
1/9/2019 10:16:32 PM,8865,1646,15030,3373,2857,33890,721,4458,40,63,80,255
1/9/2019 10:16:33 PM,121046,7518,12002,2018,13479,5108,6743,37258,35,60,84,255
1/9/2019 10:16:34 PM,8715,1992,454,2311,3646,5096,1688,7253,35,69,69,255
1/9/2019 10:16:35 PM,143628,4878,2691,7044,6337,7737,3619,27519,35,75,60,255
1/9/2019 10:16:36 PM,3610,12182,25773,14230,14729,68561,7544,18841,35,83,60,255
1/9/2019 10:16:37 PM,75905,4386,1661,2152,7000,5388,3717,14035,35,84,50,255
1/9/2019 10:16:38 PM,79977,20670,6799,16482,21837,31228,6457,36067,35,81,56,255
1/9/2019 10:16:39 PM,12791,26752,16049,9964,7824,50681,3311,31180,35,66,61,255
1/9/2019 10:16:40 PM,546945,22758,8735,3263,8182,30666,3541,32020,35,66,67,255
1/9/2019 10:16:41 PM,35837,24301,6435,7831,4414,27757,3140,37289,35,47,75,255
1/9/2019 10:16:42 PM,80532,9791,13056,4590,5844,35756,2712,29533,35,35,78,255
1/9/2019 10:16:43 PM,2264,2154,4693,2605,1679,11931,2269,8983,35,35,75,255
