Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:21:57 PM,6731,6409,4589,3919,15269,12600,2200,19019,36,81,53,255
1/9/2019 10:21:58 PM,102497,505,4550,3631,8682,26473,5198,28056,36,84,43,255
1/9/2019 10:21:59 PM,108517,5410,4991,1356,1884,21311,1079,8563,47,81,43,255
1/9/2019 10:22:00 PM,61414,7207,3203,3476,2933,10422,571,5824,47,63,44,255
1/9/2019 10:22:01 PM,24942,5686,5874,7987,6043,19000,4211,26170,47,53,44,255
1/9/2019 10:22:02 PM,375912,5302,5800,7980,6755,7321,2147,32687,34,56,60,255
1/9/2019 10:22:03 PM,39895,17376,7802,4475,1973,18166,1868,2906,34,54,67,255
1/9/2019 10:22:04 PM,31265,9366,6826,12760,10211,29002,3553,28449,34,57,61,255
1/9/2019 10:22:05 PM,7767,5215,11132,8767,4688,51968,2598,22090,34,50,57,255
1/9/2019 10:22:06 PM,15862,3945,10802,9285,10072,9941,3143,32062,34,50,57,255
1/9/2019 10:22:07 PM,17748,2447,3230,5109,4545,11121,3887,28178,34,64,44,255
1/9/2019 10:22:08 PM,20776,7137,5389,3841,8865,8674,6422,18946,34,69,51,255
1/9/2019 10:22:09 PM,241093,5508,1377,2607,3613,13465,6262,26128,34,80,54,255
1/9/2019 10:22:10 PM,26902,8186,2804,2252,3025,69421,1754,7483,34,57,41,255
1/9/2019 10:22:11 PM,61620,5501,4502,8998,3972,3467,2504,27014,40,60,48,255
1/9/2019 10:22:12 PM,25722,13622,6745,7078,1836,26040,1197,6825,40,40,48,255
1/9/2019 10:22:13 PM,49869,22797,10283,6276,6312,6406,2165,19249,37,38,66,255
1/9/2019 10:22:14 PM,32335,4219,1427,2239,3240,24159,754,6087,37,47,69,255
1/9/2019 10:22:15 PM,42520,16449,8052,16694,6730,30536,3245,23438,37,40,66,255
1/9/2019 10:22:16 PM,94707,37602,35942,23715,10033,20747,8381,27146,37,48,77,255
1/9/2019 10:22:17 PM,78651,2739,1392,1795,2845,8557,1600,5789,37,51,57,255
1/9/2019 10:22:18 PM,205249,5221,3932,2577,2746,6398,803,3675,34,54,74,255
1/9/2019 10:22:19 PM,4582,2049,4645,2533,1405,12984,881,7475,34,50,74,255
1/9/2019 10:22:20 PM,793,4432,2429,9249,9925,49643,3486,17600,34,53,43,255
1/9/2019 10:22:21 PM,12292,12233,4700,5209,20782,15210,3834,17218,34,63,44,255
1/9/2019 10:22:22 PM,58809,6064,10667,10205,14892,9302,5581,30502,34,75,41,255
