Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:20:01 PM,16628,15204,16699,8768,16858,12281,7089,18489,38,77,64,255
1/9/2019 10:20:02 PM,270086,10679,4028,7759,11207,14814,10136,31612,43,84,67,255
1/9/2019 10:20:03 PM,6797,3944,4418,2772,4912,32777,1532,3268,43,81,54,255
1/9/2019 10:20:04 PM,342405,6910,1886,8356,9555,26757,2381,12687,39,75,50,255
1/9/2019 10:20:05 PM,2782,3798,1489,2977,3151,6463,1317,9392,39,69,41,255
1/9/2019 10:20:06 PM,16205,13502,8295,6389,5198,12967,6182,30587,39,61,50,255
1/9/2019 10:20:07 PM,70334,7769,8354,3419,7828,4766,6025,30206,39,74,64,255
1/9/2019 10:20:08 PM,92771,13770,4158,9240,13402,21425,1858,40778,39,77,74,255
1/9/2019 10:20:09 PM,198735,6127,2021,2520,4096,3601,1344,5587,36,80,80,255
1/9/2019 10:20:10 PM,22548,27643,13521,16589,12205,154944,6836,32655,36,70,66,255
1/9/2019 10:20:11 PM,84773,2670,6959,10215,9600,43169,4130,24315,36,64,47,255
1/9/2019 10:20:12 PM,33012,17281,10871,12430,12712,74769,7699,21431,36,54,41,255
1/9/2019 10:20:13 PM,31605,4793,28028,7766,20595,33237,2971,23861,36,51,37,255
1/9/2019 10:20:14 PM,2599,9703,9062,15116,8894,36567,2601,17395,36,61,40,255
1/9/2019 10:20:15 PM,380196,5776,2679,10355,8412,7103,2021,22829,36,70,50,255
1/9/2019 10:20:16 PM,34887,2816,821,992,2192,5200,410,6359,36,78,53,255
1/9/2019 10:20:17 PM,90092,14320,4114,2462,8919,55722,2266,16945,36,67,47,255
1/9/2019 10:20:18 PM,3177,11352,12352,2882,11302,39359,2066,22764,36,69,50,255
1/9/2019 10:20:19 PM,18319,9412,2536,2824,3774,8659,1444,24381,36,57,57,255
1/9/2019 10:20:20 PM,121017,6730,14011,7693,6282,36947,1587,15835,36,50,57,255
1/9/2019 10:20:21 PM,35153,20262,14904,13260,6293,127089,4821,21303,36,40,56,255
1/9/2019 10:20:22 PM,65880,2626,5404,15085,9258,13304,3667,24316,34,50,50,255
1/9/2019 10:20:23 PM,127165,5476,3675,10213,4322,6602,1701,5983,36,53,43,255
1/9/2019 10:20:24 PM,503321,83431,37597,26655,15448,159191,7318,8247,36,48,47,255
1/9/2019 10:20:25 PM,2598,4974,1078,3058,6054,45153,1551,6368,36,57,38,255
1/9/2019 10:20:26 PM,1427,4710,5847,3224,9490,12523,3165,28891,36,56,44,255
