Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:24:11 PM,2678,1615,3649,3920,8973,13134,2844,12154,33,78,54,255
1/9/2019 10:24:12 PM,3349,1909,12534,4266,8130,6906,4154,23990,33,69,70,255
1/9/2019 10:24:13 PM,59349,2146,7760,3291,4066,8370,2836,14820,33,84,61,255
1/9/2019 10:24:14 PM,19692,8756,1761,1116,1111,12770,595,4876,33,67,67,255
1/9/2019 10:24:15 PM,107434,11171,1107,12062,2852,15507,3240,20486,33,53,74,255
1/9/2019 10:24:16 PM,225812,1475,3686,2717,1684,12223,1208,5279,37,41,63,255
1/9/2019 10:24:17 PM,2876,5914,10735,4487,3790,56222,2131,26624,37,27,54,255
1/9/2019 10:24:18 PM,23321,11579,9133,6610,6362,18804,2610,15590,37,40,54,255
1/9/2019 10:24:19 PM,13928,5055,1740,7033,7836,13293,4311,21741,37,51,50,255
1/9/2019 10:24:20 PM,31674,959,4777,5034,5963,14886,5355,38424,37,60,48,255
1/9/2019 10:24:21 PM,22407,4083,5357,11057,5622,13848,5291,24480,37,74,50,255
1/9/2019 10:24:22 PM,28649,2525,3726,2597,5149,10183,3494,20844,37,78,43,255
1/9/2019 10:24:23 PM,43638,6758,9319,14914,5261,6214,2191,21128,37,75,53,255
1/9/2019 10:24:24 PM,13004,7715,5703,2207,12566,14350,2901,22479,37,78,60,255
1/9/2019 10:24:25 PM,4049,1547,4948,2644,2462,33705,1842,20562,37,67,53,255
1/9/2019 10:24:26 PM,2355,8520,5384,6442,5121,5735,2317,24093,37,66,61,255
1/9/2019 10:24:27 PM,2420,3743,3357,2168,4373,10785,2646,15925,37,66,54,255
1/9/2019 10:24:28 PM,17675,9789,6478,6622,4371,11645,3190,31474,37,57,60,255
1/9/2019 10:24:29 PM,4358,4274,7700,10874,3206,18507,4527,20905,37,61,67,255
1/9/2019 10:24:30 PM,11000,3881,5271,11792,12157,5472,4687,32628,37,70,57,255
1/9/2019 10:24:31 PM,9527,6964,3551,893,4568,11622,5336,36134,37,69,63,255
1/9/2019 10:24:32 PM,9191,3139,16749,7530,14072,9095,3955,16611,37,80,61,255
1/9/2019 10:24:33 PM,61396,2862,6524,9562,7303,11095,5488,26241,33,90,61,255
1/9/2019 10:24:34 PM,19930,15505,10094,4151,6993,118779,4632,32800,33,64,57,255
1/9/2019 10:24:35 PM,66710,7501,2187,5515,4263,26841,3565,13240,35,61,50,255
1/9/2019 10:24:36 PM,25942,1126,2230,4006,2188,16913,1656,6086,35,48,34,255
