Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:24:26 PM,17847,12314,4167,7987,6947,16601,4246,42152,41,81,83,255
1/9/2019 8:24:27 PM,8429,1078,1758,4432,4869,15453,4375,50467,41,100,81,255
1/9/2019 8:24:28 PM,95864,3478,11785,7440,7222,15905,8436,63717,39,100,75,255
1/9/2019 8:24:29 PM,85829,4337,2508,1758,2379,8931,795,14620,34,97,67,255
1/9/2019 8:24:30 PM,16860,3470,6156,2634,1874,24794,759,8797,34,87,63,255
1/9/2019 8:24:31 PM,5579,2032,2569,3707,5792,4854,3814,57394,34,91,74,255
1/9/2019 8:24:32 PM,118096,14163,8060,13687,8395,8499,5250,63099,37,91,77,255
1/9/2019 8:24:33 PM,5799,4382,6669,3980,2577,5504,1040,18499,37,90,83,255
1/9/2019 8:24:34 PM,56510,413,5407,5974,7150,8895,1997,60044,37,100,80,255
1/9/2019 8:24:35 PM,4066,10021,2457,798,1678,8324,933,16843,37,91,96,255
1/9/2019 8:24:36 PM,94287,25517,7903,8371,4270,23645,1714,87729,39,80,100,255
1/9/2019 8:24:37 PM,5741,19469,5971,835,1063,47482,533,17026,39,57,93,255
1/9/2019 8:24:38 PM,191299,1109,6999,7098,4787,2421,3124,48015,39,57,100,255
1/9/2019 8:24:39 PM,526085,5755,2668,843,2727,20559,1047,16904,39,60,90,255
1/9/2019 8:24:40 PM,168502,5602,26929,5450,9830,134216,8656,74692,42,56,70,255
1/9/2019 8:24:41 PM,23754,66669,27734,13888,10998,71492,3795,62067,42,69,78,255
1/9/2019 8:24:42 PM,56908,4152,6245,14659,7601,18459,5964,41995,42,63,67,255
1/9/2019 8:24:43 PM,4780,2330,2801,1170,1755,4065,888,15008,42,70,75,255
1/9/2019 8:24:44 PM,53794,6684,6192,3233,4713,10125,1973,70426,36,83,88,255
1/9/2019 8:24:45 PM,4879,6163,6819,2307,1637,17145,2045,17173,36,81,83,255
1/9/2019 8:24:46 PM,56645,2766,6464,4227,6944,12238,3880,70101,32,83,87,255
1/9/2019 8:24:47 PM,127854,13808,2413,1984,1044,13060,915,10613,32,67,90,255
1/9/2019 8:24:48 PM,42531,5035,3529,3143,3030,49771,2025,13231,38,54,74,255
1/9/2019 8:24:49 PM,56697,5390,6386,5957,10127,10546,3359,54298,38,75,69,255
1/9/2019 8:24:50 PM,131139,13906,8931,5617,5510,30891,5689,55498,36,63,74,255
1/9/2019 8:24:51 PM,13878,5406,1201,585,898,10014,1692,16688,36,66,66,255
