Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:25:08 PM,41740,14872,17947,19167,9404,9319,8449,65180,49,100,66,255
1/9/2019 8:25:09 PM,514277,5691,1912,5344,1122,42288,1237,12155,33,91,66,255
1/9/2019 8:25:10 PM,34822,11905,5234,7046,8376,88729,2536,44078,33,75,60,255
1/9/2019 8:25:11 PM,10316,2146,935,2644,1030,3880,567,12101,33,63,60,255
1/9/2019 8:25:12 PM,61007,427,7884,1918,7362,8388,5126,59552,36,67,53,255
1/9/2019 8:25:13 PM,267165,5330,3718,2261,1305,8301,787,18439,36,80,69,255
1/9/2019 8:25:14 PM,11314,49347,20249,9866,18414,98750,4602,44805,36,81,83,255
1/9/2019 8:25:15 PM,64363,10549,937,3240,7150,21514,8434,39231,31,83,81,255
1/9/2019 8:25:16 PM,15854,3120,3164,1722,777,17230,718,13436,31,60,77,255
1/9/2019 8:25:17 PM,58654,8616,3427,6539,1906,8361,6531,38889,31,61,75,255
1/9/2019 8:25:18 PM,4570,11657,11277,10147,8080,38076,4370,49692,31,64,70,255
1/9/2019 8:25:19 PM,8281,6075,3713,3427,4955,13603,3522,48114,31,64,74,255
1/9/2019 8:25:20 PM,76876,5732,2799,13231,6019,11884,1917,30276,31,84,70,255
1/9/2019 8:25:21 PM,9005,1060,1061,525,2460,5170,855,16358,31,96,63,255
1/9/2019 8:25:22 PM,74297,7243,7275,7502,5328,18856,4553,35981,31,96,63,255
1/9/2019 8:25:23 PM,3812,3951,930,1043,1941,32302,608,11677,31,84,50,255
1/9/2019 8:25:24 PM,12718,1020,8133,6764,3300,8513,4526,34207,31,80,56,255
1/9/2019 8:25:25 PM,70662,1253,874,5877,8565,6570,6428,39661,31,87,44,255
1/9/2019 8:25:26 PM,10942,4737,1486,734,1624,35378,1155,11230,31,70,34,255
1/9/2019 8:25:27 PM,100514,6682,4852,2717,7168,5530,10220,49926,31,87,53,255
1/9/2019 8:25:28 PM,55864,5154,6950,1254,1714,19650,1477,10009,31,74,53,255
1/9/2019 8:25:29 PM,43565,1185,12914,2403,2220,24476,891,11512,31,50,69,255
1/9/2019 8:25:30 PM,4065,14043,5205,3136,1035,12556,661,6903,31,48,91,255
1/9/2019 8:25:31 PM,16003,6913,10866,7003,7609,22332,1636,49153,31,41,87,255
1/9/2019 8:25:32 PM,30752,24521,9117,17896,15308,33575,2795,51681,35,53,87,255
1/9/2019 8:25:33 PM,23184,3180,18217,8045,4453,22064,4410,36845,35,57,90,255
