Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:48:24 PM,10712,7791,48206,6124,12566,18358,5372,210139,101,78,100,255
1/9/2019 10:48:25 PM,377603,9594,8290,4533,11852,13464,15198,210387,101,87,96,255
1/9/2019 10:48:26 PM,18571,10019,37700,5649,7028,54025,4232,201330,101,75,91,255
1/9/2019 10:48:27 PM,40964,10317,31536,15270,7781,10911,10488,139813,101,64,91,255
1/9/2019 10:48:28 PM,199975,9883,4145,1494,18511,12550,16176,173653,101,78,80,255
1/9/2019 10:48:29 PM,70510,7361,34228,11173,7017,205438,11435,131577,101,56,69,255
1/9/2019 10:48:30 PM,9255,920,2550,1541,2678,7115,2594,44836,101,67,63,255
1/9/2019 10:48:31 PM,92997,12303,21367,7377,9824,27884,13318,178774,101,66,60,255
1/9/2019 10:48:32 PM,5036,2475,26827,7431,6626,24080,5663,210500,101,50,64,255
1/9/2019 10:48:33 PM,130276,9372,9525,7244,7239,7772,9521,187065,101,69,78,255
1/9/2019 10:48:34 PM,46403,23841,30945,6226,6048,24804,11317,216852,101,60,93,255
1/9/2019 10:48:35 PM,56838,11184,4121,5328,14049,85361,10504,139773,101,60,78,255
1/9/2019 10:48:36 PM,34125,8226,8620,8057,7201,21073,11459,177829,101,64,74,255
1/9/2019 10:48:37 PM,8740,8074,18323,9951,11624,15241,8363,199746,101,64,70,255
1/9/2019 10:48:38 PM,19222,9107,6862,3786,7437,9172,10198,153621,101,77,66,255
1/9/2019 10:48:39 PM,76658,11761,4280,7601,10227,10680,3653,140118,101,84,80,255
1/9/2019 10:48:40 PM,14597,14453,2419,4493,11815,28395,12272,162107,101,87,78,255
1/9/2019 10:48:41 PM,11287,3324,20232,5188,9609,8478,4229,166404,101,87,81,255
1/9/2019 10:48:42 PM,5532,13180,4039,6616,11130,40428,9200,156605,101,83,70,255
1/9/2019 10:48:43 PM,8346,1274,7498,6325,13064,10551,7381,143500,101,88,64,255
1/9/2019 10:48:44 PM,11877,19657,13304,7201,5160,22916,9320,144636,101,80,74,255
1/9/2019 10:48:45 PM,41631,4105,6464,6589,4058,8863,10280,168476,101,77,66,255
1/9/2019 10:48:46 PM,615656,4713,6757,9172,6596,40809,8680,144795,101,75,64,255
1/9/2019 10:48:47 PM,149229,12359,16921,5307,7580,47706,8733,168346,101,57,67,255
1/9/2019 10:48:48 PM,9685,11871,18353,6308,6315,22806,4972,148309,101,60,66,255
1/9/2019 10:48:49 PM,113020,7870,20884,2591,8409,13675,10659,108925,101,60,74,255
