Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:47:32 PM,11726,4277,5007,757,2659,6617,1221,48602,32,74,87,255
1/9/2019 10:47:33 PM,852422,2132,1183,4682,12954,14550,6328,210358,32,97,69,255
1/9/2019 10:47:34 PM,242354,35107,15875,8937,10202,71899,6232,237481,32,87,67,255
1/9/2019 10:47:35 PM,609252,7448,17016,11911,14334,25179,7920,154961,32,81,69,255
1/9/2019 10:47:36 PM,286917,8007,14835,11250,6755,115707,9822,205500,32,69,53,255
1/9/2019 10:47:37 PM,26855,17768,14193,10642,9922,58929,4892,187292,32,53,66,255
1/9/2019 10:47:38 PM,338993,10634,5772,13445,9318,27574,18885,217207,32,63,63,255
1/9/2019 10:47:39 PM,6848,31204,11636,5607,18135,30137,4241,147442,32,63,67,255
1/9/2019 10:47:40 PM,589700,2254,4282,3477,10842,14683,8975,206404,32,83,69,255
1/9/2019 10:47:41 PM,3812,50689,81162,16239,15717,96477,12045,214023,32,80,80,255
1/9/2019 10:47:42 PM,2728,7028,13560,15922,6653,7087,11872,160753,32,80,87,255
1/9/2019 10:47:43 PM,12125,8869,4894,7280,13276,10340,7921,192248,32,87,80,255
1/9/2019 10:47:44 PM,41244,1284,2317,8314,10964,5807,6688,251443,32,93,77,255
1/9/2019 10:47:45 PM,148116,20930,11102,5309,6361,16179,17632,203728,32,96,78,255
1/9/2019 10:47:46 PM,10467,19992,19389,7576,6707,44034,13543,227371,32,87,77,255
1/9/2019 10:47:47 PM,9143,2681,6285,2223,8032,9269,3542,207761,32,84,78,255
1/9/2019 10:47:48 PM,66464,5644,9786,7719,6603,3786,11854,181018,32,75,94,255
1/9/2019 10:47:49 PM,9312,8093,9625,12497,6918,18000,12332,184961,32,77,87,255
1/9/2019 10:47:50 PM,290046,3506,7469,5181,11458,13915,5615,217701,32,91,80,255
1/9/2019 10:47:51 PM,12870,19862,10159,3634,11600,48359,6625,212689,32,81,80,255
1/9/2019 10:47:52 PM,4985,5330,24248,10096,8257,20831,10108,204815,32,77,78,255
1/9/2019 10:47:53 PM,1068748,4997,41115,3318,9771,13041,12646,211258,32,75,91,255
1/9/2019 10:47:54 PM,68402,18740,13984,19091,5282,13932,19939,204219,32,63,100,255
1/9/2019 10:47:55 PM,8357,5719,5146,719,2040,18976,3142,52341,32,56,100,255
1/9/2019 10:47:56 PM,18292,3866,46438,2270,11595,18572,7418,189902,32,54,100,255
1/9/2019 10:47:57 PM,159752,14328,7582,4683,11410,6085,8222,168798,32,63,100,255
