Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:50:18 PM,44208,12584,20375,4319,7823,30770,4862,136983,37,66,61,255
1/9/2019 10:50:19 PM,5868,9902,14329,5388,3863,21481,9066,143318,37,56,54,255
1/9/2019 10:50:20 PM,17082,3402,21419,5580,7828,5888,6861,141074,37,57,69,255
1/9/2019 10:50:21 PM,5569,7882,16582,4992,12778,4515,7918,126436,37,67,87,255
1/9/2019 10:50:22 PM,34140,10811,3146,6579,4821,6508,6167,111740,37,74,87,255
1/9/2019 10:50:23 PM,13679,9732,10485,7640,6605,19018,8348,121248,37,78,83,255
1/9/2019 10:50:24 PM,9740,4070,1671,6560,8258,23063,4413,120285,37,78,64,255
1/9/2019 10:50:25 PM,10626,2027,12188,5250,8954,8419,10350,125753,37,77,60,255
1/9/2019 10:50:26 PM,54487,16093,14282,8984,11459,7724,8760,124113,37,77,61,255
1/9/2019 10:50:27 PM,3549,6110,9777,12912,3847,111189,7376,115691,37,63,48,255
1/9/2019 10:50:28 PM,14220,974,5022,2673,7846,4523,7310,97620,37,70,56,255
1/9/2019 10:50:29 PM,20483,17204,4961,10067,10397,53313,18005,106893,37,63,50,255
1/9/2019 10:50:30 PM,16320,4855,9941,3612,10796,14660,11297,104068,37,64,43,255
1/9/2019 10:50:31 PM,124587,6902,38299,13259,13328,54345,20356,100280,37,77,57,255
1/9/2019 10:50:32 PM,124382,2616,22430,36262,6905,15095,15147,118677,37,64,57,255
1/9/2019 10:50:33 PM,180033,1289,3962,2479,1437,17486,1178,24606,37,57,57,255
1/9/2019 10:50:34 PM,226060,10781,2509,2006,1551,13737,1860,25246,37,43,60,255
1/9/2019 10:50:35 PM,75223,22323,13626,3187,6879,38944,6183,102936,37,38,63,255
1/9/2019 10:50:36 PM,57754,13933,8746,8965,4072,31425,3449,133071,37,30,64,255
1/9/2019 10:50:37 PM,1106002,1617,1042,1933,2435,7330,1815,23429,37,43,64,255
1/9/2019 10:50:38 PM,2854382,10974,7359,2884,9811,16316,5131,72885,37,56,63,255
1/9/2019 10:50:39 PM,726569,14505,15686,23353,11599,59696,6899,68474,37,60,56,255
1/9/2019 10:50:40 PM,11218,6861,4148,2639,1595,76274,4038,16287,37,48,43,255
1/9/2019 10:50:41 PM,4858,909,4433,6104,6718,31269,2658,83638,37,47,37,255
1/9/2019 10:50:42 PM,43131,4130,8720,12580,11344,15198,7431,119579,37,50,30,255
1/9/2019 10:50:43 PM,225712,44439,27780,15547,10990,23320,8902,129367,37,48,44,255
