Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:49:17 PM,12994,6580,5745,1490,17752,26824,12820,92821,41,87,69,255
1/9/2019 10:49:18 PM,10499,1687,8658,5051,9080,7067,31440,174614,41,93,66,255
1/9/2019 10:49:19 PM,105476,3351,13461,3785,8258,19062,6949,92722,41,97,64,255
1/9/2019 10:49:20 PM,89756,6451,4210,7869,11658,29301,20428,77574,41,93,56,255
1/9/2019 10:49:21 PM,9550,850,4289,1917,5976,19684,5119,23902,41,88,53,255
1/9/2019 10:49:22 PM,46839,7410,30119,4180,14135,5304,7182,99526,41,84,63,255
1/9/2019 10:49:23 PM,12024,2984,12067,11219,8622,34256,9038,86121,41,81,57,255
1/9/2019 10:49:24 PM,7828,916,11725,1908,12036,31818,19187,140109,41,80,60,255
1/9/2019 10:49:25 PM,46867,8358,8853,5498,9915,2044,9991,113054,41,87,75,255
1/9/2019 10:49:26 PM,4888,21793,6962,8332,11810,53866,7367,98547,41,80,60,255
1/9/2019 10:49:27 PM,19758,2123,4047,9730,16869,8839,19830,119289,41,94,56,255
1/9/2019 10:49:28 PM,2041,794,1484,18132,6239,34972,13562,127250,41,91,38,255
1/9/2019 10:49:29 PM,690896,3703,12074,6382,22564,10410,7524,99552,41,96,29,255
1/9/2019 10:49:30 PM,396330,5348,5959,4274,23143,38916,7030,69119,41,100,21,255
1/9/2019 10:49:31 PM,17780,86777,14367,32021,13392,299871,15417,120153,41,77,26,255
1/9/2019 10:49:32 PM,2384,6870,4760,3079,21840,28771,5681,120859,41,87,43,255
1/9/2019 10:49:33 PM,26983,1142,2180,7192,21121,12012,12999,116492,41,88,27,255
1/9/2019 10:49:34 PM,54464,3953,5660,12917,9562,8057,17400,108380,41,88,35,255
1/9/2019 10:49:35 PM,138318,9289,12830,3744,4507,32658,15808,112664,41,94,40,255
1/9/2019 10:49:36 PM,6333,10419,4180,13618,20370,86885,14968,94922,41,87,35,255
1/9/2019 10:49:37 PM,6971,25548,9362,9409,6409,23909,17659,142416,41,64,56,255
1/9/2019 10:49:38 PM,6542,16465,22637,7393,4057,22254,33634,105986,41,48,67,255
1/9/2019 10:49:39 PM,106101,11214,14952,16746,11240,17664,15946,60026,41,57,67,255
1/9/2019 10:49:40 PM,59317,8115,16000,16942,7688,44777,10300,102589,41,53,77,255
1/9/2019 10:49:41 PM,30280,2630,9984,13094,10484,12633,4562,97517,41,64,67,255
1/9/2019 10:49:42 PM,3695,3351,3106,8617,6657,37519,8263,122398,41,70,48,255
