Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:51:14 PM,134260,14637,15085,16629,15173,8490,5363,219464,37,69,61,255
1/9/2019 10:51:15 PM,234977,6727,16866,15936,7013,34106,19861,189220,37,63,61,255
1/9/2019 10:51:16 PM,748645,5001,21239,4992,10243,22671,12001,155637,37,63,61,255
1/9/2019 10:51:17 PM,11560,24335,14428,6599,12206,179846,22952,163647,37,57,60,255
1/9/2019 10:51:18 PM,16703,15449,2113,4027,8668,22238,17069,172168,37,53,56,255
1/9/2019 10:51:19 PM,8131,2813,14729,8915,9990,18795,7265,132923,37,60,56,255
1/9/2019 10:51:20 PM,22558,3288,6722,7267,8629,17476,9969,122622,37,63,50,255
1/9/2019 10:51:21 PM,3620,3499,16171,10197,8925,7754,6685,138798,37,78,61,255
1/9/2019 10:51:22 PM,18103,6108,3740,7158,7500,12868,5908,124980,37,81,57,255
1/9/2019 10:51:23 PM,11940,5489,81951,6980,6902,21265,4387,138481,37,67,74,255
1/9/2019 10:51:24 PM,87926,15112,18063,3443,10670,8387,8377,122766,37,66,90,255
1/9/2019 10:51:25 PM,60567,7401,16526,6493,9765,49982,17228,132495,37,57,83,255
1/9/2019 10:51:26 PM,17603,7856,21544,4827,8498,20398,4681,126523,37,53,91,255
1/9/2019 10:51:27 PM,12954,1755,18216,3781,7553,22741,8041,95934,37,63,78,255
1/9/2019 10:51:28 PM,2035,781,4242,4003,8186,9636,9555,167279,37,69,60,255
1/9/2019 10:51:29 PM,7893,20754,22040,19073,10120,16810,9705,120298,37,70,67,255
1/9/2019 10:51:30 PM,13900,5950,20653,2633,12941,5968,10404,133904,37,78,70,255
1/9/2019 10:51:31 PM,125328,4614,20812,3568,10631,21031,5208,142258,37,80,75,255
1/9/2019 10:51:32 PM,17346,15334,12743,4384,4720,39578,10359,104370,37,63,83,255
1/9/2019 10:51:33 PM,11896,11406,3894,7426,8537,12355,3421,110913,37,67,78,255
1/9/2019 10:51:34 PM,13874,6617,7247,2941,4984,7424,4991,112975,37,63,77,255
1/9/2019 10:51:35 PM,70536,6896,27348,4649,9080,30938,6075,110415,37,60,78,255
1/9/2019 10:51:36 PM,9394,2742,3182,3695,1479,17062,2139,32169,37,57,69,255
1/9/2019 10:51:37 PM,279684,8732,21308,2267,5567,24638,6666,129757,37,48,75,255
1/9/2019 10:51:38 PM,235634,7623,10225,10353,5330,44260,5907,121116,37,40,64,255
1/9/2019 10:51:39 PM,68073,6275,20566,4632,6098,87779,9723,109902,37,34,54,255
