Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:40:26 PM,563430,139788,43218,11890,125991,220510,3480,778068,57,70,57,255
1/9/2019 10:40:27 PM,662387,18073,160529,4059,105204,565611,2711,717908,48,67,51,255
1/9/2019 10:40:28 PM,684434,40340,57190,15735,114403,360329,1803,642330,46,66,43,255
1/9/2019 10:40:29 PM,572732,52910,48140,5663,63523,308986,792,624489,52,60,43,255
1/9/2019 10:40:30 PM,1659758,86880,8612,2862,68258,347668,1753,574572,53,53,35,255
1/9/2019 10:40:31 PM,829714,434377,80246,33511,201662,1064313,3106,2200665,59,53,40,255
1/9/2019 10:40:32 PM,97396,122437,181761,11365,283018,1544692,3568,2083406,47,48,38,255
1/9/2019 10:40:33 PM,416977,21797,83929,890,82719,265992,2805,502552,47,50,38,255
1/9/2019 10:40:34 PM,2572866,92919,8442,10598,41261,143517,1313,499355,52,50,48,255
1/9/2019 10:40:35 PM,999627,298878,66245,70109,120578,764370,2461,1942403,41,48,47,255
1/9/2019 10:40:36 PM,760646,5051,52059,9284,84519,218225,628,473325,41,53,48,255
1/9/2019 10:40:37 PM,279099,568930,31773,24926,274177,1114527,5657,1948928,116,51,53,255
1/9/2019 10:40:38 PM,307408,57778,45158,57469,99621,166902,10356,580238,136,57,48,255
1/9/2019 10:40:39 PM,1778635,8041,19679,11358,61168,368199,7804,553179,136,61,27,255
1/9/2019 10:40:40 PM,737692,433646,46674,59153,223370,1156403,7236,1971087,39,54,35,255
1/9/2019 10:40:41 PM,1494382,281405,76276,35984,144354,563110,6340,1763487,43,53,35,255
1/9/2019 10:40:42 PM,644834,95479,8298,8123,59080,179309,528,423297,36,48,37,255
1/9/2019 10:40:43 PM,592565,79242,5373,4739,64466,126101,599,412322,33,54,60,255
1/9/2019 10:40:44 PM,155991,168485,15237,16682,223655,516024,12571,1425981,35,61,54,255
1/9/2019 10:40:45 PM,962242,35756,24865,6105,36764,203714,769,360451,33,61,48,255
1/9/2019 10:40:46 PM,210190,93394,59262,7272,178105,835039,4595,1406634,36,60,37,255
1/9/2019 10:40:47 PM,275800,42154,8340,4360,21232,101324,867,346655,42,51,35,255
1/9/2019 10:40:48 PM,1922834,207773,23660,8266,199058,528499,6301,1277726,36,51,38,255
1/9/2019 10:40:49 PM,760450,102126,108416,15696,128799,704090,3189,1283495,39,51,40,255
1/9/2019 10:40:50 PM,502714,64422,8387,9192,195399,415406,6091,1180535,33,57,37,255
1/9/2019 10:40:51 PM,891288,43018,101997,4672,151714,780302,2408,1205591,32,60,26,255
