Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:36:22 PM,47605,9574,3900,9222,39036,19440,20254,48424,60,80,40,255
1/9/2019 10:36:23 PM,771818,4591,2431,3201,10002,74973,13808,11888,60,70,27,255
1/9/2019 10:36:24 PM,1178855,28363,19922,21218,32379,176861,36839,75305,33,80,23,255
1/9/2019 10:36:25 PM,419691,57443,4512,46867,50006,254501,51717,81010,33,70,14,255
1/9/2019 10:36:26 PM,10101,30902,9236,12809,31462,216556,9063,148323,33,51,13,255
1/9/2019 10:36:27 PM,216116,13465,2658,8280,11210,10589,32537,30091,33,63,30,255
1/9/2019 10:36:28 PM,188971,26413,11015,12048,22053,87555,11023,44638,50,63,37,255
1/9/2019 10:36:29 PM,6920,7339,5974,6504,4103,70495,2717,13057,50,53,37,255
1/9/2019 10:36:30 PM,968115,3359,5520,14045,12679,11503,7273,56992,50,67,40,255
1/9/2019 10:36:31 PM,441852,10167,37385,29009,11277,187477,7763,34279,50,50,30,255
1/9/2019 10:36:32 PM,11939,2631,7763,6575,13417,22759,4363,63788,50,56,27,255
1/9/2019 10:36:33 PM,47902,7384,6948,6005,14476,6955,5852,60225,50,80,38,255
1/9/2019 10:36:34 PM,38126,23154,3584,7965,14127,53342,8750,61527,50,67,43,255
1/9/2019 10:36:35 PM,11942,4384,8065,15768,16500,16838,5471,65463,50,91,47,255
1/9/2019 10:36:36 PM,6768,5031,5154,21062,7077,34482,11487,27650,50,83,41,255
1/9/2019 10:36:37 PM,158203,5323,2346,5362,15351,14466,7666,37904,50,83,30,255
1/9/2019 10:36:38 PM,587538,5648,6730,5123,2792,18346,3841,17850,50,77,35,255
1/9/2019 10:36:39 PM,1459191,5133,5468,9482,17258,21156,12291,46489,42,75,34,255
1/9/2019 10:36:40 PM,92828,31704,27849,26311,19652,274413,10155,45258,42,66,37,255
1/9/2019 10:36:41 PM,321451,17869,26330,6602,6525,48708,17088,78616,42,44,48,255
1/9/2019 10:36:42 PM,17959,20140,5164,7079,12012,104283,8365,53501,42,47,38,255
1/9/2019 10:36:43 PM,9490,21182,17191,10175,6856,16962,10564,63609,42,34,53,255
1/9/2019 10:36:44 PM,41111,3566,4330,6413,9284,37107,3858,51493,42,44,51,255
1/9/2019 10:36:45 PM,199714,26134,11139,6949,13033,36428,6269,60834,42,53,53,255
1/9/2019 10:36:46 PM,1290202,9883,9378,10056,5421,29922,6610,12427,48,54,61,255
1/9/2019 10:36:47 PM,112947,26971,95624,46855,43042,512491,8299,46134,48,50,43,255
