Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:44:08 PM,91450,9298,2088,6481,10887,97293,9356,414974,40,70,40,255
1/9/2019 10:44:09 PM,1656432,32849,16078,15440,10047,36767,4222,417569,35,74,56,255
1/9/2019 10:44:10 PM,58509,34940,29579,23397,18513,9393,4452,398245,35,70,69,255
1/9/2019 10:44:11 PM,90388,28878,9606,18233,10838,164049,5741,417581,35,56,66,255
1/9/2019 10:44:12 PM,2358274,20564,38938,21899,11966,35293,3536,343262,46,57,87,255
1/9/2019 10:44:13 PM,78177,32880,42861,16652,19136,98859,6249,390899,46,57,83,255
1/9/2019 10:44:14 PM,383452,10779,7215,8605,9156,52658,7661,378035,36,51,67,255
1/9/2019 10:44:15 PM,125515,53256,12092,7055,8935,54687,7233,350328,36,54,81,255
1/9/2019 10:44:16 PM,6134,12308,4572,12937,4304,71835,4734,487365,36,48,69,255
1/9/2019 10:44:17 PM,477424,1266,5319,4320,14344,19453,6088,367224,44,61,57,255
1/9/2019 10:44:18 PM,21859,31729,7271,4176,9999,66805,10548,369337,44,60,64,255
1/9/2019 10:44:19 PM,234746,5292,10233,9035,4996,11533,5910,367854,44,66,61,255
1/9/2019 10:44:20 PM,109702,8671,19786,5759,10722,297778,4206,364005,39,63,53,255
1/9/2019 10:44:21 PM,57586,14282,24937,12488,10809,27863,2422,386884,39,51,67,255
1/9/2019 10:44:22 PM,2624,5932,16168,3620,8543,35071,5269,386471,39,56,66,255
1/9/2019 10:44:23 PM,65515,4779,2398,8999,5211,15888,5775,343570,39,57,57,255
1/9/2019 10:44:24 PM,660475,17134,29120,8727,10462,62020,3654,339132,35,67,75,255
1/9/2019 10:44:25 PM,82375,6367,18154,15008,14017,143507,5545,322180,35,61,60,255
1/9/2019 10:44:26 PM,84266,6093,10511,3637,14025,23288,4002,369407,35,69,60,255
1/9/2019 10:44:27 PM,40386,1929,14119,2224,4603,7956,3455,353878,33,67,74,255
1/9/2019 10:44:28 PM,156731,1278,1853,4069,4971,7604,913,85207,38,81,61,255
1/9/2019 10:44:29 PM,128093,8798,28973,3165,7976,72991,6909,379979,36,81,74,255
1/9/2019 10:44:30 PM,56570,41399,14836,7707,22032,69781,2550,371847,36,74,75,255
1/9/2019 10:44:31 PM,287853,2395,2410,2696,1198,12731,1272,81085,41,64,61,255
1/9/2019 10:44:32 PM,5480,15592,28094,19481,4064,181339,4382,297912,41,37,63,255
1/9/2019 10:44:33 PM,226553,5297,9229,2940,9739,3837,5848,340336,45,53,69,255
