Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:46:11 PM,6579,27636,13299,19423,4317,63284,5297,248463,48,70,51,255
1/9/2019 10:46:12 PM,512168,1046,12398,3984,4398,26907,4794,221225,36,54,57,255
1/9/2019 10:46:13 PM,11426,13724,15929,12229,5810,153109,5115,260913,36,38,67,255
1/9/2019 10:46:14 PM,569171,2680,1464,9386,5852,23929,3366,244170,39,43,51,255
1/9/2019 10:46:15 PM,7006,39122,55455,47608,7349,343833,5900,247604,39,35,44,255
1/9/2019 10:46:16 PM,7784,5390,2663,1661,5758,6727,4813,233232,39,44,48,255
1/9/2019 10:46:17 PM,44769,7788,11691,9877,5666,27915,5618,227603,45,57,57,255
1/9/2019 10:46:18 PM,5763,8754,10520,5407,4148,9765,1037,53229,45,54,78,255
1/9/2019 10:46:19 PM,714441,10448,2172,7014,13653,6016,4184,276642,45,88,83,255
1/9/2019 10:46:20 PM,5112,19933,7076,6876,8522,78435,14691,187505,45,75,77,255
1/9/2019 10:46:21 PM,115012,13342,5527,7715,5331,24384,4659,209907,45,75,78,255
1/9/2019 10:46:22 PM,388903,7944,9291,17267,8907,40813,3569,230684,38,75,64,255
1/9/2019 10:46:23 PM,286715,5355,10774,4963,8186,155571,4445,204100,38,51,50,255
1/9/2019 10:46:24 PM,40977,7779,21404,33788,6259,139962,5219,231962,38,43,47,255
1/9/2019 10:46:25 PM,105355,3744,1619,14267,11055,10898,3332,228335,39,57,35,255
1/9/2019 10:46:26 PM,19639,4303,1394,3188,1912,16312,810,57911,39,53,35,255
1/9/2019 10:46:27 PM,332625,1243,5986,8618,5827,3011,4226,241363,38,75,50,255
1/9/2019 10:46:28 PM,20319,7073,5777,17321,14850,30225,4121,241209,38,94,50,255
1/9/2019 10:46:29 PM,113413,3625,9133,6385,10521,4820,3612,213354,41,93,63,255
1/9/2019 10:46:30 PM,303169,1894,3905,3970,3693,11475,1419,54666,40,100,63,255
1/9/2019 10:46:31 PM,10097,18835,10196,9930,5390,47864,5545,205768,40,83,64,255
1/9/2019 10:46:32 PM,8981,14812,9534,7589,6241,48518,4566,262883,40,70,69,255
1/9/2019 10:46:33 PM,64263,12022,2504,3685,3810,11037,6163,242836,40,57,70,255
1/9/2019 10:46:34 PM,302724,20715,28157,11986,12613,43495,3937,207441,35,54,80,255
1/9/2019 10:46:35 PM,364521,6434,6527,2607,4372,6033,2265,59207,35,66,87,255
1/9/2019 10:46:36 PM,9204,9650,2005,2391,2001,38686,779,65865,35,57,84,255
