Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:45:22 PM,567138,253,278,423,330,3156,671,21427,50,77,38,255
1/9/2019 10:45:23 PM,336979,21423,4473,9391,8877,319979,3385,309402,49,61,35,255
1/9/2019 10:45:24 PM,58385,7286,10119,16919,10381,167679,6937,317795,49,48,30,255
1/9/2019 10:45:25 PM,30259,14295,8230,6560,6044,54866,4887,334903,49,34,27,255
1/9/2019 10:45:26 PM,176997,12527,18659,9751,5268,10151,3140,366743,49,35,48,255
1/9/2019 10:45:27 PM,64088,2847,4895,2935,4667,80799,697,67833,42,41,50,255
1/9/2019 10:45:28 PM,309343,14159,5492,6984,6644,36553,7800,293589,42,48,63,255
1/9/2019 10:45:29 PM,1208799,8908,6241,3957,10568,17557,5207,341094,42,61,67,255
1/9/2019 10:45:30 PM,534999,5024,8709,5120,18371,159330,3929,334283,42,60,41,255
1/9/2019 10:45:31 PM,190350,9439,2818,7777,6886,31059,6812,319471,46,67,50,255
1/9/2019 10:45:32 PM,185206,4963,1674,1314,774,26170,331,23318,49,54,44,255
1/9/2019 10:45:33 PM,249698,11316,2359,4956,1622,24330,1509,87080,39,37,44,255
1/9/2019 10:45:34 PM,7595,1021,4312,6174,1609,13557,1609,76748,39,34,54,255
1/9/2019 10:45:35 PM,1590790,3668,5100,4397,5002,7123,2186,346872,39,40,61,255
1/9/2019 10:45:36 PM,207066,9279,22955,12504,9845,151992,6099,309482,42,47,60,255
1/9/2019 10:45:37 PM,53719,12013,20661,14529,15922,131542,4506,304165,42,54,54,255
1/9/2019 10:45:38 PM,85264,2599,9978,11513,6729,20695,3958,355856,42,61,56,255
1/9/2019 10:45:39 PM,18640,5434,620,2764,1579,5445,404,71367,42,54,57,255
1/9/2019 10:45:40 PM,1152209,23526,2454,12197,6646,28170,4516,303168,42,61,67,255
1/9/2019 10:45:41 PM,23871,24934,42089,22452,13569,110928,5037,362930,42,61,77,255
1/9/2019 10:45:42 PM,218789,8998,9614,7535,9461,24105,6024,272688,37,63,80,255
1/9/2019 10:45:43 PM,106586,626,1852,1229,819,4876,240,20211,34,60,75,255
1/9/2019 10:45:44 PM,12379,3863,1557,868,1439,15697,473,66641,34,54,67,255
1/9/2019 10:45:45 PM,31131,1662,5478,11236,4115,12871,6120,302997,34,64,61,255
1/9/2019 10:45:46 PM,380295,2098,16732,9162,25084,17344,6130,284540,39,75,60,255
1/9/2019 10:45:47 PM,3033195,9028,12759,1796,3805,19305,3205,71497,45,74,67,255
