Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:41:05 PM,4444,6474,40331,17446,14002,4029,12491,62459,53,78,83,255
1/9/2019 8:41:06 PM,3562,11090,62436,6863,17256,19976,9675,96293,53,77,93,255
1/9/2019 8:41:07 PM,14135,6667,23873,7845,15883,2303,6828,35520,53,87,90,255
1/9/2019 8:41:08 PM,8334,24712,79437,10676,9995,12779,8638,42681,53,84,100,255
1/9/2019 8:41:09 PM,35619,16765,10268,5267,12960,15615,8096,65046,53,84,97,255
1/9/2019 8:41:10 PM,30288,4398,41294,13916,6997,13337,8282,60344,53,80,94,255
1/9/2019 8:41:11 PM,43475,2199,68894,5884,11286,18322,6466,54725,53,66,100,255
1/9/2019 8:41:12 PM,18897,618,19265,2744,2830,9393,1560,13974,53,69,93,255
1/9/2019 8:41:13 PM,7596,14677,5775,12028,10336,18611,6543,46675,53,67,88,255
1/9/2019 8:41:14 PM,4174,3593,35986,3350,9606,9366,17491,77025,53,74,91,255
1/9/2019 8:41:15 PM,12915,19164,16571,4308,16132,5301,9583,71288,53,83,88,255
1/9/2019 8:41:16 PM,7676,1652,15638,2303,8829,19658,3644,57469,53,91,80,255
1/9/2019 8:41:17 PM,10486,7092,20071,4546,7645,13792,12774,37571,53,87,88,255
1/9/2019 8:41:18 PM,7166,17383,8574,10914,8609,11526,9947,52520,53,88,78,255
1/9/2019 8:41:19 PM,46892,4912,13170,9994,7923,7375,9494,57014,53,87,70,255
1/9/2019 8:41:20 PM,3591,15628,12102,5185,10045,11651,3368,89264,53,87,78,255
1/9/2019 8:41:21 PM,9886,920,3109,6987,5012,7320,8106,69688,53,96,61,255
1/9/2019 8:41:22 PM,7507,12396,6547,8564,8204,8366,4167,47431,53,100,61,255
1/9/2019 8:41:23 PM,6316,6223,8605,16138,9883,8677,7369,78119,53,100,56,255
1/9/2019 8:41:24 PM,8673,18311,14747,7581,11147,13045,12988,40031,53,100,56,255
1/9/2019 8:41:25 PM,20038,7765,13573,7994,9631,17332,7219,72929,53,97,67,255
1/9/2019 8:41:26 PM,2770,11159,2663,6066,4275,20518,7867,69111,53,87,61,255
1/9/2019 8:41:27 PM,7731,17563,30328,1985,12226,8869,3067,67521,53,80,77,255
1/9/2019 8:41:28 PM,1507,5475,30211,11926,6890,28894,8344,61198,53,69,74,255
1/9/2019 8:41:29 PM,5198,11567,47330,15119,5416,12208,4922,61052,53,56,84,255
1/9/2019 8:41:30 PM,24393,7067,28222,3291,11530,6029,6078,81131,53,63,97,255
