Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:40:19 PM,355500,2521,2600,1623,3199,14295,7252,8644,43,75,84,255
1/9/2019 8:40:20 PM,11548,72015,46796,9384,11407,283284,25049,66371,43,53,74,255
1/9/2019 8:40:21 PM,3870,5256,33652,5242,14132,14442,17943,57699,43,60,69,255
1/9/2019 8:40:22 PM,60245,6150,7004,6411,9305,16860,10715,102720,43,67,69,255
1/9/2019 8:40:23 PM,3862,1355,4675,1908,4354,18992,1179,11177,43,67,66,255
1/9/2019 8:40:24 PM,5922,20447,17151,7633,9857,9489,7598,101173,43,90,83,255
1/9/2019 8:40:25 PM,7273,3267,21744,9083,14629,12908,16948,60836,43,93,78,255
1/9/2019 8:40:26 PM,12863,4338,11396,8571,10638,9749,6739,74916,43,96,81,255
1/9/2019 8:40:27 PM,80754,6666,6502,13725,10363,8490,14385,73062,43,100,88,255
1/9/2019 8:40:28 PM,4252,172,1274,1525,966,14674,1773,19368,43,94,53,255
1/9/2019 8:40:29 PM,1752,5302,7475,15134,7952,4639,8336,47305,43,96,48,255
1/9/2019 8:40:30 PM,12923,9096,10484,5022,6947,14655,9002,56753,43,88,51,255
1/9/2019 8:40:31 PM,13345,1349,8324,4932,7985,8135,22314,75591,43,88,53,255
1/9/2019 8:40:32 PM,13111,7549,3489,17239,11257,33830,7867,43611,43,100,61,255
1/9/2019 8:40:33 PM,12810,2936,10703,11110,15219,17601,9661,63464,43,100,57,255
1/9/2019 8:40:34 PM,5328,3119,5253,9138,10555,9308,7790,69784,43,100,48,255
1/9/2019 8:40:35 PM,6187,10841,45266,6712,6289,2600,8838,66618,43,97,63,255
1/9/2019 8:40:36 PM,28780,13395,12273,9863,7201,13653,23617,49904,43,94,78,255
1/9/2019 8:40:37 PM,171730,9422,46372,9788,6103,8192,11805,56410,43,78,93,255
1/9/2019 8:40:38 PM,400768,17806,19909,15895,11756,95812,14557,85744,43,57,90,255
1/9/2019 8:40:39 PM,10220,12120,30870,4055,13102,42566,14288,88203,43,61,75,255
1/9/2019 8:40:40 PM,456230,16491,21748,6130,5839,15963,7182,55238,43,54,80,255
1/9/2019 8:40:41 PM,6407,31270,28139,6988,12984,31384,11407,69796,43,60,74,255
1/9/2019 8:40:42 PM,122906,22608,29354,4009,9463,14430,5477,51535,43,64,91,255
1/9/2019 8:40:43 PM,33704,7483,119156,7827,4656,20705,7793,51547,43,50,100,255
1/9/2019 8:40:44 PM,114568,9620,8317,5493,9072,42627,7807,69748,43,53,91,255
