Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:31:19 PM,5982,4655,2189,3297,5294,11394,2656,70229,35,75,43,255
1/9/2019 8:31:20 PM,14503,12131,5341,5153,2942,16070,6749,67993,35,74,51,255
1/9/2019 8:31:21 PM,10063,5613,2539,8446,6971,7678,1166,98527,35,78,48,255
1/9/2019 8:31:22 PM,4030,1478,2059,6240,9144,16762,3255,77049,35,77,35,255
1/9/2019 8:31:23 PM,3778,3754,6549,962,10588,26677,3674,69189,35,75,34,255
1/9/2019 8:31:24 PM,8628,12154,5727,5596,4207,17801,2093,60148,35,80,30,255
1/9/2019 8:31:25 PM,10425,22022,4225,9890,9171,4578,2447,59588,35,75,41,255
1/9/2019 8:31:26 PM,7892,7364,2646,3893,8978,44717,4363,72737,35,66,44,255
1/9/2019 8:31:27 PM,10164,5243,12079,5232,4997,20311,3763,76352,35,60,51,255
1/9/2019 8:31:28 PM,534482,20519,2519,1960,7923,20550,4856,60750,35,63,53,255
1/9/2019 8:31:29 PM,61082,30468,18719,11584,4656,46978,4353,64693,35,50,50,255
1/9/2019 8:31:30 PM,113225,6710,766,7688,10753,12781,1840,71147,35,60,53,255
1/9/2019 8:31:31 PM,60000,5025,1480,1819,2264,17219,837,16591,35,57,48,255
1/9/2019 8:31:32 PM,10731,3909,644,3189,1895,11885,898,17233,35,53,38,255
1/9/2019 8:31:33 PM,4929,7161,3258,8230,7979,12377,3975,73792,35,69,30,255
1/9/2019 8:31:34 PM,16909,4540,3210,7964,3933,13046,5317,60569,35,60,35,255
1/9/2019 8:31:35 PM,10571,2722,5213,6913,6001,5973,4399,85825,35,74,38,255
1/9/2019 8:31:36 PM,123249,5314,10823,7886,4366,4959,3224,70480,33,78,50,255
1/9/2019 8:31:37 PM,32128,37918,7604,5680,5893,26634,1432,43421,33,66,57,255
1/9/2019 8:31:38 PM,18752,5943,4660,8348,7422,13084,6914,73360,33,69,60,255
1/9/2019 8:31:39 PM,2791,5495,5667,3296,5220,7248,2187,65677,33,67,63,255
1/9/2019 8:31:40 PM,94943,11265,6917,4796,5077,4327,2191,81495,33,67,66,255
1/9/2019 8:31:41 PM,14365,5576,3544,7614,6322,59086,4100,62342,33,69,47,255
1/9/2019 8:31:42 PM,5005,1945,4193,5878,10673,7776,2003,65638,33,77,44,255
1/9/2019 8:31:43 PM,431159,6947,4130,4721,7303,15381,3104,69258,33,77,40,255
1/9/2019 8:31:44 PM,1409,1928,4084,1981,2516,12533,1274,17213,33,70,27,255
