Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:05:31 PM,362627,8575,23643,18555,11435,8781,8587,148055,57,81,75,255
1/9/2019 11:05:32 PM,295921,3633,20227,11597,6281,68396,2122,35008,57,81,47,255
1/9/2019 11:05:33 PM,391007,34466,37182,21229,25257,227149,19832,155601,57,64,40,255
1/9/2019 11:05:34 PM,123291,58740,40802,2403,25701,364415,6946,116537,57,38,30,255
1/9/2019 11:05:35 PM,8239,34779,37093,13597,12526,134860,8093,157331,57,20,24,255
1/9/2019 11:05:36 PM,201992,1973,14503,11988,7437,17345,7500,120046,57,35,30,255
1/9/2019 11:05:37 PM,8326,13091,15468,4528,4456,39653,8319,166240,57,30,40,255
1/9/2019 11:05:38 PM,5414,8038,32441,5227,8788,18879,7225,186913,57,43,53,255
1/9/2019 11:05:39 PM,4599,7091,81881,19853,18699,9286,8704,147849,57,60,67,255
1/9/2019 11:05:40 PM,3431,33127,17441,8102,8241,12331,17224,150964,57,53,80,255
1/9/2019 11:05:41 PM,2100,11060,24125,5402,9180,6653,4792,138083,57,69,90,255
1/9/2019 11:05:42 PM,5145,3658,26134,5270,14754,26642,10265,107376,57,77,84,255
1/9/2019 11:05:43 PM,2225,864,13619,5987,14633,7339,6873,126737,57,90,74,255
1/9/2019 11:05:44 PM,4661,8095,3481,14029,10021,6582,4966,121758,57,100,57,255
1/9/2019 11:05:45 PM,3637,3569,20963,6542,6444,26915,4942,146713,57,97,48,255
1/9/2019 11:05:46 PM,8199,15412,10519,5411,10831,11407,5651,104053,57,96,51,255
1/9/2019 11:05:47 PM,11521,16561,7658,6397,9852,15140,7270,138114,57,84,53,255
1/9/2019 11:05:48 PM,31765,6460,17671,3355,7482,10965,3864,144896,57,74,64,255
1/9/2019 11:05:49 PM,7879,1539,1633,1530,3168,31244,3774,32262,57,67,44,255
1/9/2019 11:05:50 PM,29709,7155,5780,5769,4310,2189,5258,148937,57,69,47,255
1/9/2019 11:05:51 PM,5378,5846,7845,3311,10994,21276,7347,111262,57,70,40,255
1/9/2019 11:05:52 PM,2240,21038,15497,5372,4810,20948,4223,149499,57,60,40,255
1/9/2019 11:05:53 PM,32357,4497,11440,8718,11227,8028,7007,120579,57,80,60,255
1/9/2019 11:05:54 PM,2840,10629,5693,5690,9128,15526,1729,147258,57,78,53,255
1/9/2019 11:05:55 PM,1900,12848,4799,4239,2862,6053,3779,159299,57,67,66,255
1/9/2019 11:05:56 PM,5752,3914,2702,4681,5763,19625,4294,104941,57,81,50,255
