Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:04:03 PM,19621,10455,12617,9045,12101,21485,7689,44171,33,64,91,255
1/9/2019 11:04:04 PM,8500,5087,41916,1846,8230,14019,8380,26256,33,64,94,255
1/9/2019 11:04:05 PM,21245,4276,22958,3437,12106,3032,13020,17811,33,69,97,255
1/9/2019 11:04:06 PM,8555,6821,13590,7004,9392,27723,7429,17047,33,70,88,255
1/9/2019 11:04:07 PM,65036,2301,43605,8509,11179,7647,10512,36951,33,67,96,255
1/9/2019 11:04:08 PM,9329,1896,14546,1027,3039,12968,2529,10828,33,64,91,255
1/9/2019 11:04:09 PM,2379,9581,13353,9371,12710,10511,15249,38400,33,64,87,255
1/9/2019 11:04:10 PM,1212,14623,30162,3459,9562,2837,8629,16410,33,64,100,255
1/9/2019 11:04:11 PM,2617,28075,38859,7177,7705,14880,11649,32000,33,57,100,255
1/9/2019 11:04:12 PM,3410,9849,11598,10320,18361,10446,7016,34313,33,75,96,255
1/9/2019 11:04:13 PM,4411,1787,54734,4143,15113,4609,8111,14172,33,70,100,255
1/9/2019 11:04:14 PM,84809,8017,9140,1725,16168,9078,15509,23730,33,81,94,255
1/9/2019 11:04:15 PM,154758,19374,70242,4141,9708,21475,8687,56440,33,80,94,255
1/9/2019 11:04:16 PM,4062,12577,4900,5661,16953,21607,13582,19237,33,78,93,255
1/9/2019 11:04:17 PM,19942,7383,26021,19531,6726,11693,6983,20322,33,74,87,255
1/9/2019 11:04:18 PM,5590,2397,13453,6557,11535,8230,5710,12841,33,69,87,255
1/9/2019 11:04:19 PM,3026,2155,2068,9072,9497,22914,2955,10064,33,83,61,255
1/9/2019 11:04:20 PM,3403,5508,10503,6015,6396,20175,10999,32385,33,75,61,255
1/9/2019 11:04:21 PM,3076,16183,9089,14488,23469,10987,3603,27686,33,88,57,255
1/9/2019 11:04:22 PM,38196,5946,2557,9855,7794,7278,9844,23218,33,88,53,255
1/9/2019 11:04:23 PM,15466,8980,3717,7357,10419,27630,12108,23544,33,84,61,255
1/9/2019 11:04:24 PM,10831,3323,2832,6123,14866,7327,6229,55495,33,100,54,255
1/9/2019 11:04:25 PM,7835,2366,2750,6950,9743,9935,10650,16049,33,100,47,255
1/9/2019 11:04:26 PM,2655,3804,9422,4127,10184,17031,17960,54442,33,97,47,255
1/9/2019 11:04:27 PM,5778,191,4398,7344,10078,3945,4201,50039,33,100,44,255
1/9/2019 11:04:28 PM,11986,9631,6451,2914,14964,13574,5999,27453,33,100,50,255
