Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:12:28 PM,698174,6948,15257,15387,17745,39323,7168,139448,38,84,81,255
1/9/2019 11:12:29 PM,464604,19593,14055,9262,6050,24784,7961,143295,38,84,77,255
1/9/2019 11:12:30 PM,108288,19427,19504,5732,10087,40443,12542,98630,38,80,70,255
1/9/2019 11:12:31 PM,596367,12567,11540,18578,6185,59362,7837,100263,38,63,70,255
1/9/2019 11:12:32 PM,143889,45836,5483,25590,37221,88260,9166,129009,38,63,70,255
1/9/2019 11:12:33 PM,297650,10358,12813,6476,5396,110904,5431,115692,38,54,56,255
1/9/2019 11:12:34 PM,86616,24198,18593,2710,6229,40848,6191,154909,38,51,57,255
1/9/2019 11:12:35 PM,211282,14336,50886,21038,18753,43362,8496,114081,38,57,67,255
1/9/2019 11:12:36 PM,544036,21513,14562,14816,12851,48899,10784,119028,38,53,70,255
1/9/2019 11:12:37 PM,577200,4597,11695,5351,18012,15120,9591,146168,38,77,80,255
1/9/2019 11:12:38 PM,466669,1583,11383,8370,12424,45210,17691,108177,38,87,64,255
1/9/2019 11:12:39 PM,36559,11239,7534,5982,3626,20694,3249,37049,38,80,61,255
1/9/2019 11:12:40 PM,170545,12372,16330,4379,19488,14116,8503,99381,38,91,67,255
1/9/2019 11:12:41 PM,80355,19711,11635,17607,10777,20231,5858,123659,38,83,74,255
1/9/2019 11:12:42 PM,6479,21174,12724,9123,12092,41447,6501,90706,38,80,83,255
1/9/2019 11:12:43 PM,21707,11948,16301,16755,6758,57402,7634,85020,38,78,78,255
1/9/2019 11:12:44 PM,65150,1183,21357,8232,1856,18599,2426,125789,38,56,78,255
1/9/2019 11:12:45 PM,57041,20744,17334,4103,13072,87582,5795,169670,38,50,70,255
1/9/2019 11:12:46 PM,256474,11634,26521,3419,9286,29998,4036,136595,38,50,78,255
1/9/2019 11:12:47 PM,31175,15725,20191,5211,13457,163174,7040,89137,38,48,70,255
1/9/2019 11:12:48 PM,131899,6426,12338,8722,10006,45570,10660,106151,38,57,61,255
1/9/2019 11:12:49 PM,55638,16268,4539,3135,7175,38723,3800,85059,38,61,63,255
1/9/2019 11:12:50 PM,123354,4943,10542,7388,13865,15582,11794,141538,38,70,56,255
1/9/2019 11:12:51 PM,1612,12350,18506,10089,13568,36312,12266,122168,38,80,66,255
1/9/2019 11:12:52 PM,12080,3935,17010,8933,14598,13845,5025,139449,38,90,74,255
1/9/2019 11:12:53 PM,3356,5842,14242,4598,8338,14245,6182,121073,38,96,77,255
