Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:06:14 PM,7260,12436,20740,7449,13891,17541,14961,125350,50,93,35,255
1/9/2019 11:06:15 PM,8901,24970,33411,7230,9535,6903,5987,125593,50,87,53,255
1/9/2019 11:06:16 PM,1620,16679,21689,10455,7273,23301,4072,98359,50,87,70,255
1/9/2019 11:06:17 PM,11436,7955,45868,4533,4207,8851,6367,149425,50,66,91,255
1/9/2019 11:06:18 PM,7221,14600,29583,4978,10227,8335,3742,137884,50,61,97,255
1/9/2019 11:06:19 PM,8073,3976,38394,4662,10843,1857,7764,114859,50,67,97,255
1/9/2019 11:06:20 PM,8069,685,14781,4724,11953,4069,13088,114249,50,84,96,255
1/9/2019 11:06:21 PM,250518,4992,13022,1535,2723,3857,6838,150327,50,91,93,255
1/9/2019 11:06:22 PM,5009,17707,9065,8158,5558,100857,8800,132721,50,75,74,255
1/9/2019 11:06:23 PM,8189,7360,8664,11415,3363,9258,4536,120220,50,67,61,255
1/9/2019 11:06:24 PM,14656,1444,4121,8989,4488,7050,2815,144587,50,63,50,255
1/9/2019 11:06:25 PM,5418,107,3228,6540,5868,9753,4072,91083,50,77,23,255
1/9/2019 11:06:26 PM,2020,19954,12982,11536,8938,25855,9431,134683,50,90,35,255
1/9/2019 11:06:27 PM,1356,6437,12763,1397,6948,6587,6680,145102,50,97,40,255
1/9/2019 11:06:28 PM,2566,5409,12160,10949,5285,7260,5484,114384,50,91,51,255
1/9/2019 11:06:29 PM,2233,15336,9570,18438,6162,9600,3714,126339,50,81,66,255
1/9/2019 11:06:30 PM,5570,25783,9143,14388,8959,25217,10010,108860,50,81,66,255
1/9/2019 11:06:31 PM,1960,24578,7770,7940,6746,4070,4671,107712,50,78,69,255
1/9/2019 11:06:32 PM,1838,5231,32376,2127,8088,4350,4397,137323,50,78,81,255
1/9/2019 11:06:33 PM,3915,17917,11865,5187,8811,5313,9756,107543,50,81,90,255
1/9/2019 11:06:34 PM,5924,3892,10161,16153,11042,14236,5376,130892,50,91,81,255
1/9/2019 11:06:35 PM,10655,9342,4177,6657,4580,9904,5623,142139,50,91,70,255
1/9/2019 11:06:36 PM,1252,10890,29663,6435,6536,4357,6321,103471,50,88,69,255
1/9/2019 11:06:37 PM,6261,21764,3636,5298,5978,13202,8391,114212,50,83,66,255
1/9/2019 11:06:38 PM,9396,9016,11024,12384,4010,5100,6463,121541,50,75,77,255
1/9/2019 11:06:39 PM,12214,34931,15398,17496,7622,10314,7946,123134,50,69,83,255
