Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:11:05 PM,70833,2570,9009,7206,7405,8049,6083,267003,46,75,63,255
1/9/2019 11:11:06 PM,42923,4870,3165,4187,11811,40571,13780,339556,46,84,54,255
1/9/2019 11:11:07 PM,7765,5463,2858,14495,10213,6868,7324,296574,46,100,64,255
1/9/2019 11:11:08 PM,8331,3169,6210,10195,6503,24403,13095,225512,46,100,50,255
1/9/2019 11:11:09 PM,2923,6142,9201,7705,8338,9310,13653,241693,46,100,51,255
1/9/2019 11:11:10 PM,10677,7343,9696,8061,15167,16365,14960,242833,46,100,63,255
1/9/2019 11:11:11 PM,87653,2697,22061,5830,8393,7522,7096,201812,46,100,78,255
1/9/2019 11:11:12 PM,96805,26923,3219,15499,14440,35279,5987,266112,46,100,84,255
1/9/2019 11:11:13 PM,11940,8455,3818,10453,11180,6814,7025,282100,46,100,81,255
1/9/2019 11:11:14 PM,9457,11648,11407,10145,8524,20108,18171,245239,46,100,83,255
1/9/2019 11:11:15 PM,11136,7524,12387,8196,12288,58845,9887,234484,46,100,67,255
1/9/2019 11:11:16 PM,107430,16370,4901,10882,10723,13472,6187,249854,46,100,70,255
1/9/2019 11:11:17 PM,5324,1357,1869,3085,1728,6126,2344,61005,46,91,67,255
1/9/2019 11:11:18 PM,20274,6856,11499,12084,7115,30993,12244,259219,46,88,63,255
1/9/2019 11:11:19 PM,34281,16299,19772,3013,14634,32111,7616,245681,46,90,74,255
1/9/2019 11:11:20 PM,41970,6913,4116,13249,9070,2831,12561,194174,46,96,69,255
1/9/2019 11:11:21 PM,29273,15482,4760,22447,14391,66051,6699,191867,46,96,64,255
1/9/2019 11:11:22 PM,251285,13907,4230,21381,8617,26343,9641,234135,46,100,64,255
1/9/2019 11:11:23 PM,9894,10063,13414,5144,5379,46776,10237,234683,46,91,57,255
1/9/2019 11:11:24 PM,54309,8160,6304,10417,11294,22688,7448,223293,46,84,56,255
1/9/2019 11:11:25 PM,13782,10064,3202,8734,7787,13208,14366,152159,46,90,64,255
1/9/2019 11:11:26 PM,54228,5982,10066,4843,4784,14572,3000,226385,46,88,70,255
1/9/2019 11:11:27 PM,78032,1881,26191,4774,6425,49898,12443,199698,46,88,70,255
1/9/2019 11:11:28 PM,127512,971,15157,6106,6472,36594,9341,183623,46,80,69,255
1/9/2019 11:11:29 PM,281805,10887,2279,12806,5468,58943,6538,197889,46,66,60,255
1/9/2019 11:11:30 PM,781749,41317,30566,33980,5854,189157,7882,200828,46,47,51,255
