Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:55:04 PM,115056,8603,4707,2669,10085,13275,3570,97108,42,69,66,255
1/9/2019 10:55:05 PM,202691,645,583,2508,2031,15665,1376,14236,46,80,50,255
1/9/2019 10:55:06 PM,48961,11618,6636,5310,3884,27811,2560,12510,46,80,38,255
1/9/2019 10:55:07 PM,20071,567,1809,4813,6298,7295,4366,76879,46,83,30,255
1/9/2019 10:55:08 PM,3727,2848,4252,10241,7630,38828,4131,60258,46,75,20,255
1/9/2019 10:55:09 PM,9889,3650,1894,8630,7500,17379,1830,53139,46,84,26,255
1/9/2019 10:55:10 PM,16325,4412,11654,2598,6573,11848,2529,80061,46,93,30,255
1/9/2019 10:55:11 PM,37750,8231,8485,2244,5718,18019,6883,89500,46,80,48,255
1/9/2019 10:55:12 PM,16948,6120,3129,1896,10387,26746,6416,60559,46,87,54,255
1/9/2019 10:55:13 PM,2358,2710,3521,4865,10110,4952,4929,80327,46,94,61,255
1/9/2019 10:55:14 PM,8983,6537,1445,3877,8715,11661,2419,75193,46,100,54,255
1/9/2019 10:55:15 PM,8072,3579,4968,15408,5062,7623,7230,82137,46,100,47,255
1/9/2019 10:55:16 PM,59963,2514,6228,3330,8081,7119,8705,85705,46,100,53,255
1/9/2019 10:55:17 PM,564423,27575,4191,12814,16460,25962,5078,40652,39,100,57,255
1/9/2019 10:55:18 PM,17899,46088,9875,7489,9927,94551,7162,48720,39,83,61,255
1/9/2019 10:55:19 PM,13573,4033,2389,14823,14551,38930,5366,62244,39,84,50,255
1/9/2019 10:55:20 PM,50897,3072,2130,8287,6885,16264,6015,63231,39,80,40,255
1/9/2019 10:55:21 PM,2841,259,1888,7642,5081,21972,3968,71730,39,77,17,255
1/9/2019 10:55:22 PM,125723,2565,4244,7903,6385,9905,6461,74294,39,93,14,255
1/9/2019 10:55:23 PM,467234,27318,13124,12919,5181,125727,4722,62601,43,70,24,255
1/9/2019 10:55:24 PM,12362,21261,6647,7898,7981,97605,10805,61142,43,56,27,255
1/9/2019 10:55:25 PM,109661,9698,18275,9988,5235,16916,6584,56834,43,51,53,255
1/9/2019 10:55:26 PM,358059,1025,8288,3794,1564,7226,2061,12308,43,38,61,255
1/9/2019 10:55:27 PM,55169,69632,49709,14844,7542,291638,11370,82937,43,35,64,255
1/9/2019 10:55:28 PM,217504,989,3147,6290,7087,6912,1921,15151,41,56,63,255
1/9/2019 10:55:29 PM,234280,5803,3845,3225,6364,102698,4610,54394,38,48,43,255
