Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:53:29 PM,132987,1638,2787,5393,5020,15116,5696,16419,43,80,34,255
1/9/2019 10:53:30 PM,1132130,59020,45834,6059,23023,118615,47554,107501,43,80,47,255
1/9/2019 10:53:31 PM,738422,77743,35883,64566,53614,945453,61738,126878,43,69,35,255
1/9/2019 10:53:32 PM,2094784,22748,8969,8447,6568,27989,11724,29716,39,50,47,255
1/9/2019 10:53:33 PM,3325,36954,9294,9973,13183,59152,26293,119192,39,43,56,255
1/9/2019 10:53:34 PM,33153,9099,12456,18922,9559,37754,7033,115669,39,47,50,255
1/9/2019 10:53:35 PM,954451,19190,5745,5963,10892,52490,4802,104215,39,56,61,255
1/9/2019 10:53:36 PM,70981,23276,10127,8193,19274,92873,7578,63548,39,57,53,255
1/9/2019 10:53:37 PM,14424,5900,2158,7950,7406,64538,5408,122681,39,57,38,255
1/9/2019 10:53:38 PM,73546,9183,7176,7141,8734,27005,7222,84188,39,60,40,255
1/9/2019 10:53:39 PM,69585,9381,2426,6010,9124,30022,4147,123622,39,63,37,255
1/9/2019 10:53:40 PM,6833,12973,15482,20213,9653,42579,6553,71094,39,63,38,255
1/9/2019 10:53:41 PM,20261,3698,18194,10021,8026,20594,8329,88718,39,67,53,255
1/9/2019 10:53:42 PM,10506,5838,15422,5527,10830,21282,11038,109325,39,69,56,255
1/9/2019 10:53:43 PM,8728,22807,7201,9488,12811,6452,9287,125186,39,74,69,255
1/9/2019 10:53:44 PM,136780,9637,4137,7260,5700,34993,9545,119675,42,74,67,255
1/9/2019 10:53:45 PM,245359,1216,2741,1468,3630,28698,976,16660,42,67,53,255
1/9/2019 10:53:46 PM,6934,9012,6438,15683,10566,149682,6451,96751,42,56,38,255
1/9/2019 10:53:47 PM,94052,474,19041,5768,6998,34733,17039,101943,45,48,29,255
1/9/2019 10:53:48 PM,45623,6462,2599,2677,4626,13658,1709,18219,45,51,30,255
1/9/2019 10:53:49 PM,43695,5780,7101,8351,4329,14798,3034,92225,53,54,44,255
1/9/2019 10:53:50 PM,11806,1633,1567,1156,743,21277,266,7554,53,50,48,255
1/9/2019 10:53:51 PM,28525,3418,13058,2958,19348,14716,7454,139039,53,63,48,255
1/9/2019 10:53:52 PM,299370,19773,2935,8586,13956,10306,8276,74317,53,67,53,255
1/9/2019 10:53:53 PM,399115,27213,3773,3701,3464,47382,1402,36933,53,56,54,255
1/9/2019 10:53:54 PM,454889,1446,2460,4334,1929,26046,2104,21800,48,63,54,255
