Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 10:59:20 PM,9331,1767,768,927,1817,8282,2451,29859,34,74,41,255
1/9/2019 10:59:21 PM,66912,29930,11338,8256,14824,49227,19528,72856,37,60,66,255
1/9/2019 10:59:22 PM,51477,20368,30255,10338,19931,21478,11583,106387,37,60,83,255
1/9/2019 10:59:23 PM,9487,13461,13131,8834,10997,29802,7946,131698,37,54,84,255
1/9/2019 10:59:24 PM,18060,2239,14540,8262,6919,5873,11965,70985,37,57,100,255
1/9/2019 10:59:25 PM,43006,1402,7275,10037,8892,19326,6075,111426,37,63,90,255
1/9/2019 10:59:26 PM,338339,39104,18805,5958,10990,73132,5755,66931,40,54,84,255
1/9/2019 10:59:27 PM,5332,7864,11599,6661,21624,65551,9071,75851,40,56,74,255
1/9/2019 10:59:28 PM,7628,3711,10395,6613,12295,21590,9036,93159,40,57,63,255
1/9/2019 10:59:29 PM,348894,8573,4477,1878,5707,3687,9788,95673,40,57,81,255
1/9/2019 10:59:30 PM,11694,2869,3640,5227,2370,11836,2132,18645,40,61,70,255
1/9/2019 10:59:31 PM,9127,15695,8487,6173,14335,22839,3496,114738,40,63,84,255
1/9/2019 10:59:32 PM,760086,1139,7388,7050,6974,11639,6118,103015,39,63,84,255
1/9/2019 10:59:33 PM,115209,34982,12658,21542,23250,157581,8531,72098,39,56,64,255
1/9/2019 10:59:34 PM,62353,916,2811,2339,2423,13133,1568,21933,39,56,60,255
1/9/2019 10:59:35 PM,289010,7733,16070,5900,11026,21509,5088,62656,32,54,60,255
1/9/2019 10:59:36 PM,3724,3869,3266,959,2442,16540,1951,30897,32,47,60,255
1/9/2019 10:59:37 PM,135299,8869,3145,3259,6592,10428,11597,105576,39,53,74,255
1/9/2019 10:59:38 PM,226153,28496,1261,23959,7987,17166,8781,87394,39,54,87,255
1/9/2019 10:59:39 PM,739,42585,20310,8522,11097,32718,12803,125838,39,50,96,255
1/9/2019 10:59:40 PM,94075,5240,15522,9775,14488,6185,6250,70840,40,60,100,255
1/9/2019 10:59:41 PM,14536,35891,6643,8217,22680,172480,3646,98577,40,53,91,255
1/9/2019 10:59:42 PM,237261,9527,12276,11798,16272,28381,6041,110557,34,57,87,255
1/9/2019 10:59:43 PM,62348,15053,42929,19649,8282,57646,5164,65919,34,54,78,255
1/9/2019 10:59:44 PM,329909,6986,8052,8924,7353,42072,6589,101091,34,47,64,255
1/9/2019 10:59:45 PM,3495,1048,2124,3226,6307,11178,3115,16005,34,54,61,255
