Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:00:43 PM,118736,5189,21208,15019,9941,10389,7164,101138,33,63,90,255
1/9/2019 11:00:44 PM,10692,2537,945,1905,1922,8784,2069,16202,33,64,83,255
1/9/2019 11:00:45 PM,3931,4350,6248,7882,9823,8441,4566,94138,33,77,80,255
1/9/2019 11:00:46 PM,10491,10866,8273,1643,9535,4916,5927,74677,33,70,88,255
1/9/2019 11:00:47 PM,11022,3754,420,3168,8461,22987,6570,91106,33,74,66,255
1/9/2019 11:00:48 PM,8089,8129,3751,4155,4232,8752,5334,76485,33,75,78,255
1/9/2019 11:00:49 PM,10615,1578,1837,2204,13150,13156,6118,87606,33,77,61,255
1/9/2019 11:00:50 PM,114846,9116,4489,6824,3470,23432,3458,101787,33,66,48,255
1/9/2019 11:00:51 PM,19252,2283,2091,1721,794,14550,1466,24000,33,51,56,255
1/9/2019 11:00:52 PM,1638,4555,3267,3707,7477,7206,4716,129438,33,57,53,255
1/9/2019 11:00:53 PM,8013,5080,5664,2310,10350,6783,4376,70464,33,56,70,255
1/9/2019 11:00:54 PM,3712,19202,2273,12912,9862,17197,5322,103012,33,64,77,255
1/9/2019 11:00:55 PM,10540,3733,2254,4080,4783,11932,3690,64468,33,78,77,255
1/9/2019 11:00:56 PM,37016,2892,15496,7953,6292,31155,9606,117200,33,67,75,255
1/9/2019 11:00:57 PM,6579,5587,7991,4486,9074,29382,10832,89756,33,60,67,255
1/9/2019 11:00:58 PM,17195,3433,11844,4870,10992,4246,6970,93099,33,64,74,255
1/9/2019 11:00:59 PM,14704,2450,11192,5157,7730,8865,8592,120029,33,67,83,255
1/9/2019 11:01:00 PM,10795,10844,4727,4054,8435,30387,9752,79965,33,70,83,255
1/9/2019 11:01:01 PM,131244,9731,3308,6476,10558,9682,4169,103172,45,77,88,255
1/9/2019 11:01:02 PM,31092,16570,11391,11278,12136,104795,7948,102123,45,63,70,255
1/9/2019 11:01:03 PM,5154,4710,5643,5540,1297,32390,2627,17161,45,44,60,255
1/9/2019 11:01:04 PM,5658,10027,6480,3854,7026,15517,7841,104531,45,47,67,255
1/9/2019 11:01:05 PM,4563,1678,9088,12073,3481,7470,6231,120596,45,40,67,255
1/9/2019 11:01:06 PM,117093,4596,4486,8383,6737,12443,3219,117576,43,50,74,255
1/9/2019 11:01:07 PM,63329,4883,2404,1594,2480,16660,950,19464,34,57,77,255
1/9/2019 11:01:08 PM,20029,20554,2723,6197,4740,28958,7881,83237,34,53,75,255
