Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 11:02:21 PM,167305,17853,5623,3886,8464,27937,3511,69093,41,66,78,255
1/9/2019 11:02:22 PM,50661,17755,7573,13225,10773,45752,6050,69229,41,56,74,255
1/9/2019 11:02:23 PM,24473,11872,8670,7854,8925,49526,4112,56900,41,53,54,255
1/9/2019 11:02:24 PM,311463,3902,3453,3329,5605,5768,3958,60860,49,67,66,255
1/9/2019 11:02:25 PM,70840,845,3169,1424,4548,17734,1010,10773,38,69,44,255
1/9/2019 11:02:26 PM,29869,7222,2266,2186,2982,33502,891,19107,38,61,40,255
1/9/2019 11:02:27 PM,39632,4095,13219,6708,7828,12627,9204,48298,38,69,53,255
1/9/2019 11:02:28 PM,6388,5329,14605,8604,8075,44221,4891,67414,38,56,47,255
1/9/2019 11:02:29 PM,133397,2454,4708,2075,6592,6573,4775,56754,44,64,61,255
1/9/2019 11:02:30 PM,34773,2044,558,2839,5090,11027,810,12313,44,83,51,255
1/9/2019 11:02:31 PM,34100,10296,7571,6866,5134,18559,5550,52928,44,77,50,255
1/9/2019 11:02:32 PM,18765,23419,6768,5553,9111,7751,6823,53986,44,83,70,255
1/9/2019 11:02:33 PM,3344,4607,3338,6488,3739,35884,5118,51229,44,64,54,255
1/9/2019 11:02:34 PM,10181,23205,2010,7361,10815,46271,7189,70318,44,54,69,255
1/9/2019 11:02:35 PM,137729,23300,23150,5662,9420,33143,4332,79173,44,53,77,255
1/9/2019 11:02:36 PM,6783,5582,1405,2047,1613,8070,529,13361,44,44,64,255
1/9/2019 11:02:37 PM,5499,7867,4935,5199,9651,6922,2131,62481,44,63,83,255
1/9/2019 11:02:38 PM,2867,7427,3101,2839,4896,6154,4581,50123,44,69,94,255
1/9/2019 11:02:39 PM,8825,5538,2797,2179,7348,17914,6461,57671,44,80,77,255
1/9/2019 11:02:40 PM,1626453,1719,10187,5926,5600,13314,2357,73231,53,87,74,255
1/9/2019 11:02:41 PM,8126,9276,27905,9004,9600,120177,4568,51817,53,64,60,255
1/9/2019 11:02:42 PM,13841,1441,3515,5948,7737,8124,3750,43398,53,74,40,255
1/9/2019 11:02:43 PM,56890,2173,3683,6665,5302,8704,3136,69393,53,77,38,255
1/9/2019 11:02:44 PM,8220,1109,2002,2503,1186,9469,1447,11007,53,67,27,255
1/9/2019 11:02:45 PM,3066,965,1970,3529,11459,5788,2812,73149,53,96,16,255
1/9/2019 11:02:46 PM,68699,3816,6030,3008,5792,14097,8607,77677,53,83,26,255
