Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 9:00:45 PM,7287,11954,5211,9130,22315,7065,6213,30099,35,90,57,255
1/9/2019 9:00:46 PM,1289,8258,49519,5326,5391,7798,10977,37356,35,77,70,255
1/9/2019 9:00:47 PM,7490,36357,26109,7788,8054,31390,8506,13861,35,61,78,255
1/9/2019 9:00:48 PM,5656,4630,47796,5027,11480,27202,8507,45251,35,56,83,255
1/9/2019 9:00:49 PM,4577,7466,30986,3200,7996,21147,15598,22511,35,40,91,255
1/9/2019 9:00:50 PM,13468,4986,19566,5780,9105,4893,13431,23585,35,53,83,255
1/9/2019 9:00:51 PM,5191,5681,28273,6100,7782,16659,3785,29057,35,57,83,255
1/9/2019 9:00:52 PM,5663,7026,18499,11219,11266,6954,6819,14941,35,66,80,255
1/9/2019 9:00:53 PM,11010,11573,26489,8737,7390,7114,17415,30928,35,67,81,255
1/9/2019 9:00:54 PM,4038,5754,20091,13143,6346,6213,7904,22708,35,63,80,255
1/9/2019 9:00:55 PM,6156,16532,14818,5780,7667,6864,4067,27316,35,64,83,255
1/9/2019 9:00:56 PM,14928,4917,7672,6235,8659,8704,9191,16548,35,66,80,255
1/9/2019 9:00:57 PM,5611,21993,13548,5294,10321,19893,3556,22706,35,67,75,255
1/9/2019 9:00:58 PM,8778,7091,42627,6102,8872,5293,11052,8946,35,66,83,255
1/9/2019 9:00:59 PM,7795,22404,29026,3922,4675,12986,4215,24125,35,57,87,255
1/9/2019 9:01:00 PM,12386,25680,19580,15624,11307,11281,4273,16219,35,51,93,255
1/9/2019 9:01:01 PM,6882,13695,9526,14485,9800,24170,6656,22532,35,51,87,255
1/9/2019 9:01:02 PM,1436,13511,20046,6247,11902,11192,4212,42149,35,56,81,255
1/9/2019 9:01:03 PM,9358,23694,11806,12917,20865,26781,22725,29392,35,70,69,255
1/9/2019 9:01:04 PM,13741,1394,17362,18202,15922,18726,17597,41675,35,78,60,255
1/9/2019 9:01:05 PM,10072,8391,8300,11458,8759,15241,15126,53404,35,80,60,255
1/9/2019 9:01:06 PM,13214,10665,8036,4459,9321,6579,6826,34435,35,83,57,255
1/9/2019 9:01:07 PM,2038,10284,16046,7367,8671,11409,11578,14521,35,80,63,255
1/9/2019 9:01:08 PM,6977,16754,7246,4475,12802,15279,6963,17739,35,78,67,255
1/9/2019 9:01:09 PM,2054,9535,14171,1812,13402,11468,8098,22972,35,81,70,255
1/9/2019 9:01:10 PM,7082,13210,14036,15612,10985,8276,8034,39100,35,78,69,255
