Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/9/2019 8:54:45 PM,14333,11028,7178,2289,2938,20651,2311,23192,34,64,57,255
1/9/2019 8:54:46 PM,12064,4028,9608,3805,13159,8077,9299,113065,34,77,67,255
1/9/2019 8:54:47 PM,498478,3187,6325,5813,6641,3583,10280,130609,34,81,63,255
1/9/2019 8:54:48 PM,9756,542,5031,3642,2980,6330,1666,21542,34,69,69,255
1/9/2019 8:54:49 PM,127050,2525,13118,5329,13378,4687,3611,69246,34,91,69,255
1/9/2019 8:54:50 PM,430432,13730,18433,4550,12648,59838,5022,61689,34,78,67,255
1/9/2019 8:54:51 PM,10832,2674,3041,2953,1945,9759,2204,23867,34,64,63,255
1/9/2019 8:54:52 PM,521806,4977,4777,5103,15188,6791,11515,148149,34,77,61,255
1/9/2019 8:54:53 PM,550710,2195,4827,4294,4034,14681,1621,20887,34,64,53,255
1/9/2019 8:54:54 PM,468640,21701,10029,11858,11747,17829,17534,104684,37,69,57,255
1/9/2019 8:54:55 PM,2205,8499,7803,11190,16700,24407,8491,96187,37,81,56,255
1/9/2019 8:54:56 PM,66810,2360,2789,10470,6510,19666,7617,128485,37,69,47,255
1/9/2019 8:54:57 PM,11227,12931,9811,10476,12460,39717,5407,123538,37,69,48,255
1/9/2019 8:54:58 PM,43119,15526,2875,8388,10455,6194,11819,69549,37,77,47,255
1/9/2019 8:54:59 PM,17852,9611,11112,9244,9595,16312,15226,72672,37,69,53,255
1/9/2019 8:55:00 PM,8471,7794,9039,6894,12075,15253,7341,85807,37,74,64,255
1/9/2019 8:55:01 PM,10156,5341,950,10589,10308,15272,8624,106756,37,81,57,255
1/9/2019 8:55:02 PM,24312,2718,6670,7527,6023,19153,6721,69141,37,75,50,255
1/9/2019 8:55:03 PM,100859,17043,24727,5421,6740,17281,7224,63133,37,67,57,255
1/9/2019 8:55:04 PM,14993,15087,24401,14377,16177,71802,6578,83070,37,60,54,255
1/9/2019 8:55:05 PM,82258,4479,4054,10499,41752,12190,9694,89722,37,69,53,255
1/9/2019 8:55:06 PM,5248,752,1348,1099,2652,11229,1287,31099,37,67,47,255
1/9/2019 8:55:07 PM,146056,17792,2979,17413,4526,12940,7993,81941,37,66,38,255
1/9/2019 8:55:08 PM,32885,3579,2160,4802,3681,40263,849,23480,37,60,26,255
1/9/2019 8:55:09 PM,69666,11434,16269,5739,8874,14956,9397,107132,37,40,44,255
1/9/2019 8:55:10 PM,34118,2931,4332,8210,6814,70084,8558,81706,37,34,40,255
