Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 9:57:41 PM,136052,21419,5753,4770,25038,6822,13023,374335,63,78,44,255
1/16/2019 9:57:42 PM,227197,144,2131,1709,2370,10727,1184,18936,45,93,48,255
1/16/2019 9:57:43 PM,732237,12837,20787,15066,38973,39193,28904,387723,45,100,44,255
1/16/2019 9:57:44 PM,243490,33556,21486,8534,20490,72593,22181,280420,45,100,53,255
1/16/2019 9:57:45 PM,125291,18184,39796,31859,26607,112581,15818,284385,45,88,44,255
1/16/2019 9:57:46 PM,83431,21652,10676,18122,30247,200218,26368,301937,45,84,43,255
1/16/2019 9:57:47 PM,420395,7335,1648,1072,2042,9470,2084,14681,45,67,50,255
1/16/2019 9:57:48 PM,133888,15774,46673,37611,18406,255231,32806,338838,45,57,40,255
1/16/2019 9:57:49 PM,38860,10896,5782,4199,36110,87930,38495,229257,45,66,29,255
1/16/2019 9:57:50 PM,249565,12190,15372,7539,32863,3326,19904,310065,45,83,47,255
1/16/2019 9:57:51 PM,2478584,24247,21675,25666,17758,210521,13414,269455,45,78,34,255
1/16/2019 9:57:52 PM,252266,62301,66959,26764,34824,364690,10784,333008,45,78,37,255
1/16/2019 9:57:53 PM,311141,25038,35072,12671,24116,234458,22998,356207,45,61,40,255
1/16/2019 9:57:54 PM,13443,7203,24302,27000,22067,191904,26808,310699,45,41,24,255
1/16/2019 9:57:55 PM,92100,5044,3901,5054,33444,12528,34515,202828,45,64,24,255
1/16/2019 9:57:56 PM,48686,14616,5963,13511,6767,65907,2765,75304,45,64,23,255
1/16/2019 9:57:57 PM,163525,11656,10620,18180,22768,98894,21163,278053,45,69,20,255
1/16/2019 9:57:58 PM,231038,4253,9041,2507,6977,102157,1516,73308,45,63,17,255
1/16/2019 9:57:59 PM,235702,46576,37240,24294,34112,98464,15223,311124,45,47,29,255
1/16/2019 9:58:00 PM,324742,4900,3796,5425,3509,46955,7017,65612,45,43,26,255
1/16/2019 9:58:01 PM,371106,15567,3727,13546,36250,51351,17238,381271,52,51,29,255
1/16/2019 9:58:02 PM,212048,10526,14217,3322,6192,34823,4764,72652,52,56,48,255
1/16/2019 9:58:03 PM,179804,8132,8841,13258,32496,40016,12899,286194,52,64,38,255
1/16/2019 9:58:04 PM,622235,16233,4286,3377,10936,58970,4042,82380,52,70,43,255
1/16/2019 9:58:05 PM,1240952,6746,7934,9669,20723,66753,42852,283175,52,66,41,255
1/16/2019 9:58:06 PM,272723,8840,8601,14601,18413,152769,17132,270211,52,66,23,255
