Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 8:42:42 PM,2695,3666,6467,6731,17349,7438,4312,147816,48,70,34,255
1/16/2019 8:42:43 PM,14924,4222,7697,9267,12435,22279,4332,135049,48,74,26,255
1/16/2019 8:42:44 PM,442071,10574,19045,8147,8058,10770,2713,120628,48,78,37,255
1/16/2019 8:42:45 PM,3834,1692,17352,7788,8978,43182,7188,107957,48,74,44,255
1/16/2019 8:42:46 PM,59379,4856,5727,13618,10011,14935,5195,133822,43,66,44,255
1/16/2019 8:42:47 PM,10652,6138,1702,1470,2371,13398,1769,21062,43,57,48,255
1/16/2019 8:42:48 PM,7521,2405,20905,8270,4223,19058,3919,109065,43,53,44,255
1/16/2019 8:42:49 PM,7818,16074,13056,7278,9001,32943,3039,67096,43,53,50,255
1/16/2019 8:42:50 PM,12110,10207,4916,1704,8249,4687,3684,116834,43,54,60,255
1/16/2019 8:42:51 PM,4280,8649,15686,11672,6800,3460,6610,124489,43,60,66,255
1/16/2019 8:42:52 PM,9682,9392,6509,2085,10627,4582,4271,112299,43,70,67,255
1/16/2019 8:42:53 PM,6320,7924,4879,5030,19509,21678,7028,116253,43,81,61,255
1/16/2019 8:42:54 PM,122719,8143,5841,5619,8869,12621,4559,76312,43,80,56,255
1/16/2019 8:42:55 PM,12011,3705,2967,1603,1686,14138,839,43269,43,70,48,255
1/16/2019 8:42:56 PM,16717,6179,4880,6869,10966,19379,8401,138742,43,69,40,255
1/16/2019 8:42:57 PM,15905,16813,15354,8329,20365,9331,5787,109300,43,67,48,255
1/16/2019 8:42:58 PM,15635,11297,1820,9553,7773,2983,3086,117968,43,69,50,255
1/16/2019 8:42:59 PM,2334,7620,7480,6658,6201,9015,7965,148449,43,78,54,255
1/16/2019 8:43:00 PM,2617,1397,3917,13133,6485,15501,4490,127173,43,77,50,255
1/16/2019 8:43:01 PM,22872,10936,5531,7023,6571,37207,3652,165528,43,66,43,255
1/16/2019 8:43:02 PM,3945,10486,8551,5776,15184,10725,2809,116529,43,64,43,255
1/16/2019 8:43:03 PM,1291,1425,2784,5651,12834,8016,4479,120416,43,75,34,255
1/16/2019 8:43:04 PM,10986,24566,1667,2385,6472,3886,5831,137810,43,74,51,255
1/16/2019 8:43:05 PM,7334,1872,12549,10732,16183,8013,7512,130927,43,87,53,255
1/16/2019 8:43:06 PM,16977,14392,3805,8978,9158,9878,7569,118038,43,84,54,255
1/16/2019 8:43:07 PM,9995,10019,6302,4762,14467,33848,7414,137772,43,75,57,255
