Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 8:42:02 PM,3575,26125,11216,7551,2961,8836,3804,143273,41,61,64,255
1/16/2019 8:42:03 PM,23962,8659,9970,3636,12193,10113,10565,125777,41,81,66,255
1/16/2019 8:42:04 PM,4658,12457,9899,3431,18545,29928,5770,95124,41,80,64,255
1/16/2019 8:42:05 PM,3225,33076,8932,7997,13616,14163,7141,165990,41,77,69,255
1/16/2019 8:42:06 PM,3192,2497,623,1925,19810,4899,3670,97091,41,100,48,255
1/16/2019 8:42:07 PM,6217,17055,8560,11709,9960,8004,9220,112658,41,94,50,255
1/16/2019 8:42:08 PM,10811,12031,3491,6304,4652,11818,2557,104641,41,84,53,255
1/16/2019 8:42:09 PM,5785,2280,3648,4627,5638,11778,5472,158597,41,83,41,255
1/16/2019 8:42:10 PM,1700,7157,25678,4236,13942,20219,1996,142856,41,66,56,255
1/16/2019 8:42:11 PM,21891,3694,3866,5898,9022,19291,4777,128199,41,67,47,255
1/16/2019 8:42:12 PM,4611,5068,4372,10027,9758,25794,4484,113947,41,70,38,255
1/16/2019 8:42:13 PM,7274,26888,3265,15298,11572,61287,4062,111187,41,64,40,255
1/16/2019 8:42:14 PM,8699,4216,7793,5020,8964,23440,3690,125974,41,63,30,255
1/16/2019 8:42:15 PM,48269,9171,2664,10507,10703,14644,2656,87016,41,66,35,255
1/16/2019 8:42:16 PM,27500,10817,12815,9026,10741,17439,4366,130554,41,64,43,255
1/16/2019 8:42:17 PM,15900,10306,7502,10115,6491,6740,7899,106558,41,70,48,255
1/16/2019 8:42:18 PM,2607,16445,9056,11562,9539,10265,7494,120866,41,70,54,255
1/16/2019 8:42:19 PM,4346,1540,3015,8533,9628,14325,3059,117814,41,74,50,255
1/16/2019 8:42:20 PM,22339,13426,2360,9730,23599,15271,3558,159345,41,81,44,255
1/16/2019 8:42:21 PM,12292,4333,2479,5134,11864,10186,5105,181803,41,88,37,255
1/16/2019 8:42:22 PM,6021,4198,1569,3816,10437,3910,2663,145733,41,97,29,255
1/16/2019 8:42:23 PM,10832,23524,5760,7533,13313,7383,7230,139279,41,96,47,255
1/16/2019 8:42:24 PM,2389,5003,13032,6155,4008,20235,3330,101365,41,81,50,255
1/16/2019 8:42:25 PM,2900,10140,5832,3228,14077,10318,2767,142507,41,80,56,255
1/16/2019 8:42:26 PM,6149,13305,3746,6961,14652,18777,3998,136180,41,74,57,255
1/16/2019 8:42:27 PM,7823,24791,4249,4387,14319,10904,10163,127328,41,74,57,255
