Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 8:43:28 PM,7043,2382,3269,5879,10380,30382,8726,197420,55,75,38,255
1/16/2019 8:43:29 PM,37964,9907,9556,3272,11305,10302,3382,151576,55,80,44,255
1/16/2019 8:43:30 PM,8098,6901,13925,14051,13095,42273,4665,101726,55,77,41,255
1/16/2019 8:43:31 PM,9784,7757,6982,4168,17264,16487,3062,147741,55,74,38,255
1/16/2019 8:43:32 PM,2061,8145,3157,6389,9704,13308,3931,132561,55,75,47,255
1/16/2019 8:43:33 PM,1960,4996,9158,9161,11241,13240,2647,142017,55,75,41,255
1/16/2019 8:43:34 PM,7097,3066,15964,8412,5998,26795,6692,86560,55,70,44,255
1/16/2019 8:43:35 PM,2880,25718,2292,3797,11002,10736,4361,108887,55,66,51,255
1/16/2019 8:43:36 PM,10566,15872,4355,4714,7936,2847,5218,120312,55,64,61,255
1/16/2019 8:43:37 PM,1856,7982,7810,6378,10822,9801,3263,92354,55,64,64,255
1/16/2019 8:43:38 PM,2612,6655,8868,3851,4586,14745,6190,110978,55,66,66,255
1/16/2019 8:43:39 PM,5486,5184,26657,5775,6120,5831,3055,160952,55,63,70,255
1/16/2019 8:43:40 PM,1571,4005,5338,5041,8828,3238,7707,124290,55,67,64,255
1/16/2019 8:43:41 PM,1715,1204,12512,5827,17272,7495,4083,96611,55,74,63,255
1/16/2019 8:43:42 PM,7519,6607,12243,4078,7641,19464,2431,109960,55,75,63,255
1/16/2019 8:43:43 PM,69042,1974,9000,9070,5551,13554,3018,110877,55,78,50,255
1/16/2019 8:43:44 PM,3639,7190,11696,6003,7549,69861,5049,104323,55,63,43,255
1/16/2019 8:43:45 PM,3380,6132,6256,9444,12471,24047,5197,116255,55,56,40,255
1/16/2019 8:43:46 PM,6230,1794,5047,10710,24494,4140,7644,105751,55,75,29,255
1/16/2019 8:43:47 PM,5666,6941,2998,2674,10707,20077,3705,120431,55,78,27,255
1/16/2019 8:43:48 PM,1521,2930,9796,7327,9689,19770,4053,110789,55,87,30,255
1/16/2019 8:43:49 PM,12311,14467,9029,7165,13861,6166,5873,144507,55,88,40,255
1/16/2019 8:43:50 PM,13132,3158,6961,6609,4344,14137,4553,93446,55,69,44,255
1/16/2019 8:43:51 PM,19144,2692,7798,9487,6091,18087,4045,104619,55,66,47,255
1/16/2019 8:43:52 PM,1332,1591,2541,4668,7769,24035,2823,128068,55,66,38,255
1/16/2019 8:43:53 PM,11701,8540,2633,4195,6021,21916,5660,157767,55,57,30,255
