Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 10:06:51 PM,3986,6974,3881,2789,10315,13287,5844,411168,65,67,60,255
1/16/2019 10:06:52 PM,906,10079,3567,3632,10109,14232,7382,395587,65,84,69,255
1/16/2019 10:06:53 PM,79923,8153,12097,8279,13740,2928,8601,155467,65,88,75,255
1/16/2019 10:06:54 PM,107385,37018,31331,18689,16295,73873,8859,151777,54,80,75,255
1/16/2019 10:06:55 PM,7208,15635,13527,11754,7026,30263,5499,173111,54,67,78,255
1/16/2019 10:06:56 PM,2899,31349,7903,3967,14712,10588,5733,197948,54,67,84,255
1/16/2019 10:06:57 PM,1132,7706,3195,5366,6002,5968,6778,222998,54,61,83,255
1/16/2019 10:06:58 PM,4786,4191,4079,5287,17729,9514,6696,175687,54,80,77,255
1/16/2019 10:06:59 PM,1462,5724,5817,4364,8036,18799,5554,141624,54,87,74,255
1/16/2019 10:07:00 PM,2071,12925,15467,16454,7802,21421,3081,187055,54,81,66,255
1/16/2019 10:07:01 PM,11031,14745,7420,3088,5968,37444,3127,209600,54,70,64,255
1/16/2019 10:07:02 PM,14450,22182,8669,10413,6092,11554,10138,168201,54,54,75,255
1/16/2019 10:07:03 PM,6486,12386,9189,1638,11607,4482,6842,170648,54,60,84,255
1/16/2019 10:07:04 PM,5891,12107,5029,6981,17250,6704,20583,167567,54,74,83,255
1/16/2019 10:07:05 PM,5763,43172,9111,10210,10990,9387,2935,156128,54,77,93,255
1/16/2019 10:07:06 PM,7312,36301,9884,12122,9708,11001,11595,213700,54,80,93,255
1/16/2019 10:07:07 PM,59854,19286,4480,1755,3589,15732,8999,137026,54,66,93,255
1/16/2019 10:07:08 PM,2720,6690,1749,297,1449,20113,3305,38672,54,43,91,255
1/16/2019 10:07:09 PM,3324,24649,1358,12009,7350,4362,30148,156843,54,47,88,255
1/16/2019 10:07:10 PM,2640,3703,7332,8113,8315,6721,8842,156052,54,56,81,255
1/16/2019 10:07:11 PM,560040,11829,4926,3666,12510,9056,13706,175315,54,69,78,255
1/16/2019 10:07:12 PM,3425,38854,6472,8185,11358,49655,2789,154462,54,77,81,255
1/16/2019 10:07:13 PM,21858,1617,3201,4764,12466,7478,9613,180186,54,88,67,255
1/16/2019 10:07:14 PM,4826,10623,4445,6716,8706,25238,8364,122465,54,83,66,255
1/16/2019 10:07:15 PM,13207,16424,7068,10700,7862,8865,6384,168424,54,77,67,255
1/16/2019 10:07:16 PM,4838,2502,6723,6420,7805,9583,11239,140355,54,87,64,255
