Time,Delta,Alpha_1,Alpha_2,Beta_1,Beta_2,Theta,Gamma_1,Gamma_2,Blinking,Attention,Meditaion,Siganl_Quality
,,,,,,,,,,,,
1/16/2019 8:55:16 PM,9476,2661,2753,11221,19416,28514,8783,105263,74,83,60,255
1/16/2019 8:55:17 PM,9502,5594,14218,5457,14734,3293,11100,157637,74,88,63,255
1/16/2019 8:55:18 PM,74261,8404,10778,12875,16572,8530,7070,145708,59,91,60,255
1/16/2019 8:55:19 PM,21560,20725,3963,5935,7379,84514,1542,28604,59,88,64,255
1/16/2019 8:55:20 PM,170793,7496,13677,3538,17655,61499,8795,129745,59,80,77,255
1/16/2019 8:55:21 PM,5540,16355,10299,9170,8607,87941,4138,165764,59,63,63,255
1/16/2019 8:55:22 PM,3997,9908,4311,2628,6843,18375,5036,111957,59,54,63,255
1/16/2019 8:55:23 PM,8827,7544,13296,6093,8300,28067,4923,127209,59,63,69,255
1/16/2019 8:55:24 PM,23198,34326,17192,6542,8990,23219,4347,111450,59,57,90,255
1/16/2019 8:55:25 PM,11879,6102,15323,3318,3068,5075,1706,122438,59,60,100,255
1/16/2019 8:55:26 PM,14872,9191,8593,7390,10465,10675,5161,145096,59,64,100,255
1/16/2019 8:55:27 PM,34071,9286,37738,3311,3136,26051,9837,126695,59,53,100,255
1/16/2019 8:55:28 PM,3924,27819,48457,15372,2152,27834,2582,98453,59,40,100,255
1/16/2019 8:55:29 PM,1640,91413,85871,12754,9362,29116,3902,162350,59,34,100,255
1/16/2019 8:55:30 PM,7730,7919,90332,5974,7976,16953,3751,122692,59,20,100,255
1/16/2019 8:55:31 PM,16018,3167,4734,5450,7503,13664,7444,137964,59,37,100,255
1/16/2019 8:55:32 PM,2137,3042,15507,6950,6641,20227,4920,116593,59,51,93,255
1/16/2019 8:55:33 PM,32100,1692,2723,4631,7719,6606,2125,152964,59,75,67,255
1/16/2019 8:55:34 PM,6434,2097,8467,5197,7141,15832,5722,162658,59,84,50,255
1/16/2019 8:55:35 PM,8283,1004,2416,5174,11244,27246,5337,148313,59,84,37,255
1/16/2019 8:55:36 PM,4078,13238,4299,6386,9901,8634,5206,126937,59,93,38,255
1/16/2019 8:55:37 PM,5679,24018,4770,2378,6845,10543,6791,162954,59,81,56,255
1/16/2019 8:55:38 PM,5531,3639,16206,16461,7598,10198,3095,124883,59,80,60,255
1/16/2019 8:55:39 PM,96843,34246,21293,15680,10351,12281,4543,132812,59,74,88,255
1/16/2019 8:55:40 PM,101561,9133,59776,14365,4767,28095,5682,133304,59,56,94,255
1/16/2019 8:55:41 PM,7530,13132,56910,27778,7264,65576,2386,104571,59,47,88,255
